Date,BBAR,BMA,CRES.BA,GGAL,HARG.BA,MIRG.BA,PAMP.BA,TECO2.BA,TS,YPF
2023-01-02,2.9445,12.8693,181.7936,8.1775,229.9969,5549.3428,457.0,383.9,31.1177,8.71
2023-01-03,2.9445,12.8693,167.1427,8.1775,229.9969,5357.1255,433.0,363.5,31.1177,8.71
2023-01-04,3.0961,13.4473,175.2736,8.4686,229.9969,5292.2207,438.0,368.65,29.726,8.71
2023-01-05,3.2716,14.3345,180.2595,9.0423,229.9969,5501.9126,451.0,374.0,30.4961,9.35
2023-01-06,3.3435,14.7415,180.5663,9.5047,229.9969,5392.0742,458.95,373.0,30.7187,9.45
2023-01-09,3.3913,15.1404,180.2595,9.7616,229.9969,5402.0596,452.65,373.8,31.3775,9.75
2023-01-10,3.3514,15.2625,176.5009,9.9157,229.9969,5328.168,452.75,368.5,31.9991,9.72
2023-01-11,3.6227,16.1335,180.2595,10.6093,229.9969,5388.0801,484.5,395.5,32.0455,9.87
2023-01-12,3.6946,16.8905,182.5607,11.0032,229.9969,5501.9126,487.0,410.0,32.5557,10.35
2023-01-13,3.7185,16.7358,187.7,11.1659,229.9969,5651.6924,487.0,428.0,32.5929,11.08
2023-01-16,3.8222,17.3911,195.6008,11.4742,229.9969,5841.4136,503.0,445.0,32.9779,11.65
2023-01-17,3.926,18.0464,204.8055,11.7824,229.9969,5854.3945,508.8,472.0,33.3629,12.22
2023-01-18,3.5669,17.0289,182.1004,10.6179,279.2819,5488.9316,471.0,419.0,33.2237,11.21
2023-01-19,3.6467,17.4115,185.5906,11.0374,279.2819,5258.271,472.5,415.0,32.964,11.22
2023-01-20,3.8143,18.4615,192.149,11.7739,279.2819,5389.0786,498.0,443.0,33.0475,11.92
2023-01-23,3.7424,17.8429,194.0666,11.6283,279.2819,5422.0303,497.3,456.35,32.3516,11.98
2023-01-24,3.7185,17.7859,196.7513,11.5855,279.2819,5464.9668,502.0,466.0,32.2403,12.0
2023-01-25,3.8222,18.5185,200.2031,12.0307,279.2819,5485.936,519.0,493.3,32.6114,12.08
2023-01-26,3.8302,18.4045,207.8737,11.9023,279.2819,5481.9419,517.0,499.9,32.964,12.02
2023-01-27,3.6946,17.6394,209.7914,11.3995,293.246,5316.1855,504.0,487.35,32.8434,11.54
2023-01-30,3.5509,16.9638,194.8337,10.8743,293.246,5244.2915,480.5,461.0,32.63,11.15
2023-01-31,3.7105,17.8836,194.9104,11.5372,293.246,5302.2061,498.0,473.9,32.8897,11.95
2023-02-01,3.6148,17.5336,197.9019,11.3392,293.246,5282.2354,498.7,471.5,32.1846,11.75
2023-02-02,3.6068,17.7696,192.5325,11.3048,293.246,5282.2354,491.5,459.15,30.6909,11.47
2023-02-03,3.4233,16.7603,185.5139,10.616,293.246,5183.3809,475.5,427.0,30.394,11.18
