Date,ANZ.AX,ASX.AX,BHP.AX,CBA.AX,COH.AX,CSL.AX,FMG.AX,GMG.AX,NAB.AX,QBE.AX,RMD.AX,S32.AX,STO.AX,TLS.AX,WBC.AX,WES.AX,WOW.AX
2023-01-03,20.272,61.6034,40.9431,91.8993,194.3431,272.2149,16.6298,16.9361,26.4526,11.8066,30.0767,3.8091,6.333,3.5329,20.2059,42.0321,30.821
2023-01-04,20.8182,62.2547,41.5844,93.8001,197.3366,274.3888,17.0945,17.3861,26.7043,12.1045,30.9163,3.9347,6.2257,3.5508,20.837,42.929,30.9141
2023-01-05,20.8094,62.1263,41.5934,93.9638,198.3891,271.0169,17.1434,17.2981,26.9201,11.9872,30.5113,3.9347,6.172,3.5508,20.8637,43.0122,30.9607
2023-01-06,20.8534,61.1173,42.9121,93.8365,198.9589,268.8624,17.7711,17.1709,26.7583,11.9781,30.0669,4.1087,6.2794,3.5508,20.8015,43.4653,30.9421
2023-01-09,20.8975,60.8513,43.3547,93.9638,200.417,267.6257,17.6325,17.4155,26.9741,11.8518,29.6915,4.2634,6.3599,3.5508,20.7748,43.7611,31.3891
2023-01-10,20.8975,60.7962,43.1741,93.9638,200.8998,266.3021,17.7466,17.4546,26.9111,11.5268,30.1953,4.3021,6.3062,3.5419,20.8104,43.4283,31.3239
2023-01-11,21.153,60.7228,43.8154,94.1548,199.8859,268.6595,18.1787,17.9536,27.028,11.6171,30.6101,4.3504,6.3151,3.5508,20.7126,43.8259,31.622
2023-01-12,21.3644,62.3647,44.6012,95.6553,201.2474,271.8864,18.6841,18.2178,27.6934,11.6712,30.6793,4.3988,6.3778,3.5866,20.8904,44.2142,31.8828
2023-01-13,21.5758,62.1171,44.836,96.8558,200.6584,273.4033,18.5863,18.2373,28.143,11.7615,30.6101,4.4471,6.5298,3.5955,21.1215,44.5193,31.5195
2023-01-16,21.9282,62.8417,44.8812,97.6288,202.7345,277.21,18.2031,18.6385,28.4577,11.7434,31.025,4.5438,6.5656,3.5955,21.2726,45.0371,31.6034
2023-01-17,21.9459,63.493,44.3844,97.7107,203.1787,280.7268,17.9586,19.0005,28.4756,11.7976,31.5583,4.4084,6.6014,3.6581,21.2726,45.4069,32.3764
