Date,ABEV3.SA,B3SA3.SA,BBAS3.SA,BRFS3.SA,CMIG4.SA,CRFB3.SA,CSNA3.SA,ITUB4.SA,KLBN11.SA,LREN3.SA,MRFG3.SA,PETR3.SA,PETR4.SA,RAPT4.SA,VALE3.SA
2023-01-02,13.359,11.5464,14.1885,7.9255,6.5628,13.7559,12.1608,21.2367,16.0067,16.3778,7.1235,17.2049,14.6541,7.4032,72.5644
2023-01-03,13.3402,11.16,13.9241,7.5272,6.4064,13.6588,12.0204,20.7945,16.1584,15.988,6.9787,16.9616,14.2833,7.3017,72.4345
2023-01-04,13.4155,11.2448,14.1032,7.6766,6.4846,13.9695,12.1113,20.8552,16.2222,16.0897,7.115,17.2443,14.7372,7.237,72.5644
2023-01-05,13.4531,11.5935,14.7474,8.3437,6.5447,14.2607,12.9126,21.5055,16.342,15.844,7.2173,17.8031,15.2679,7.3386,73.7819
2023-01-06,13.4814,11.8669,14.9521,8.6025,6.5447,14.3578,13.4414,21.8784,16.2222,16.4286,7.2002,17.6913,15.1784,7.3201,74.9507
2023-01-09,13.5567,11.7066,14.8071,8.6523,6.7132,14.1927,13.4992,22.0345,16.2941,16.471,7.1065,17.8097,15.2615,7.4586,75.0319
2023-01-10,13.6885,12.1214,15.0588,9.0207,6.7493,14.2704,14.1436,22.4594,16.1663,16.9624,7.311,17.9149,15.4021,7.5878,75.9572
2023-01-11,13.4531,12.6775,15.2721,8.4233,7.026,14.1054,14.1684,22.8496,15.8231,17.6402,7.3621,18.145,15.5236,7.7355,75.6893
2023-01-12,13.2743,12.6021,15.174,8.5229,6.9598,13.9792,13.9866,22.5288,15.9029,17.996,7.3621,18.2436,15.7474,7.754,76.0871
2023-01-13,13.0671,12.4041,15.2081,7.9653,6.8696,14.3286,13.9536,22.416,15.855,17.064,7.132,18.2041,15.709,7.634,76.152
2023-01-16,12.427,12.2062,15.191,7.5372,6.8034,14.9596,13.7222,22.1732,15.8949,16.7167,6.8679,17.7505,15.3702,7.3109,74.8777
2023-01-17,13.0483,12.2628,16.0826,7.806,7.0079,14.7849,13.8627,22.6328,16.1264,16.8946,7.0724,18.9996,16.3164,7.3017,74.7803
2023-01-18,12.973,12.3287,16.313,7.8956,7.038,14.9014,14.3005,23.0404,16.1584,17.4962,7.0127,18.7564,16.0287,7.274,75.7624
2023-01-19,12.8412,12.225,16.6841,7.6865,7.026,14.5713,14.3832,23.0404,16.0306,17.6232,7.0468,19.3941,16.553,7.2924,76.0871
2023-01-20,12.7376,12.0365,17.0937,7.8657,6.8395,14.2801,14.7301,22.6328,15.6634,17.4114,6.9787,19.611,16.8599,7.3663,76.29
2023-01-23,12.6341,11.9234,16.9657,7.7562,6.7372,15.0858,14.8293,21.9391,15.5277,17.2759,7.1746,20.0647,17.1284,7.2832,76.5416
2023-01-24,12.8129,12.1025,16.8804,7.9852,6.8636,15.6683,14.5649,22.1386,15.6235,18.0384,7.1576,19.9135,17.0069,7.3755,77.3533
2023-01-25,12.9071,12.357,17.3411,8.1047,7.05,15.8042,14.5484,22.2166,15.4558,18.4112,7.1406,19.9989,17.2243,7.5601,78.0838
2023-01-26,12.9353,12.3664,17.3325,8.1644,6.8515,15.6295,15.1928,22.0865,15.384,18.4959,7.0724,19.4401,16.7832,7.7263,79.5448
2023-01-27,12.8506,11.98,17.1406,7.7363,6.7372,15.445,15.0358,21.6183,15.3361,18.013,6.8423,18.9996,16.3804,7.6709,77.3695
2023-01-30,12.7376,12.1308,17.4093,7.4973,6.7192,15.7654,15.1184,21.6269,15.6873,17.9537,6.6378,19.0588,16.4635,7.4309,77.0936
2023-01-31,12.86,12.2156,17.3624,7.9255,6.8936,15.9692,15.2837,21.9651,15.5676,18.3265,6.5611,19.3678,16.6681,7.4771,76.7121
2023-02-01,12.4081,12.1685,17.1534,8.5328,6.8696,15.8139,15.2919,21.6767,15.6953,18.3519,6.9105,18.9865,16.4379,7.3294,75.8598
2023-02-02,12.3422,12.2533,16.8292,7.8757,6.8696,15.843,14.4575,21.8763,15.1604,18.4536,6.6293,18.0858,15.6771,7.274,72.3533
2023-02-03,12.2198,11.4144,16.7225,7.6965,6.7192,15.1247,14.5649,21.7982,15.4239,17.1657,6.5611,18.3028,15.8497,7.1909,72.1991
2023-02-06,12.2575,11.4144,16.8164,7.1389,6.8154,14.8237,14.2675,21.8069,15.2403,17.1149,6.118,18.9668,16.4827,7.1355,71.2981
2023-02-07,12.201,11.2071,16.586,6.651,6.5989,14.5616,14.284,21.3036,15.384,16.7506,5.8028,18.8681,16.3804,7.1724,71.7689
2023-02-08,12.4175,11.4239,16.9785,6.8701,6.7011,14.1636,14.3005,23.0651,15.368,17.0302,5.9732,19.2495,16.6553,7.3201,72.0124
2023-02-09,12.2575,10.9809,16.8889,6.8502,6.5327,13.4841,14.1188,22.4924,15.4878,16.31,5.7261,19.2495,16.5786,7.117,71.7446
2023-02-10,12.1069,11.1223,17.2216,6.3922,6.5929,13.8044,14.094,22.3883,15.6155,16.3354,5.6409,19.7754,17.0837,7.1909,70.454
2023-02-13,12.3611,11.2354,17.3197,6.88,6.6229,13.6297,14.0362,23.178,15.6714,16.3862,5.709,19.874,17.1348,7.4217,70.3809
2023-02-14,12.2387,10.7829,17.725,6.432,6.5628,14.0277,14.0775,22.8916,15.8446,15.8609,5.6068,19.7557,17.0709,7.2647,70.6975
2023-02-15,12.4552,10.9243,17.8871,6.6809,6.5568,14.7169,14.598,23.23,16.0393,16.293,5.8283,19.8411,17.0964,7.3755,72.2397
2023-02-16,12.314,10.7169,18.0876,6.7406,6.5808,14.5325,14.8375,23.4036,15.9988,16.4201,5.7602,19.8214,17.1668,7.3478,72.3939
2023-02-17,12.427,10.3965,18.2668,6.8302,6.5808,14.6005,14.3749,23.3255,15.6823,16.6235,5.6068,19.519,16.9046,7.3109,71.4524
2023-02-22,12.4364,10.2268,17.8146,6.3722,6.4244,14.1927,14.3336,22.8916,15.3497,15.8355,5.3426,19.0325,16.4699,7.2278,70.9085
2023-02-23,12.474,10.1608,17.9596,6.4718,6.4305,13.8433,14.3997,22.9784,15.3416,16.2507,5.3597,19.7425,16.975,7.2924,70.5757
2023-02-24,12.5399,9.8267,17.6145,6.432,6.3462,13.7365,13.6479,22.2755,15.439,16.1066,5.3682,19.4467,16.5594,7.2278,69.0254
2023-02-27,12.6152,9.9875,17.3752,6.4419,6.3462,13.8141,13.8214,21.9891,15.4714,16.2676,5.496,19.7688,16.7192,7.274,69.0254
2023-02-28,12.6058,9.978,17.5362,6.1333,6.3041,13.0569,13.7718,22.0672,15.8365,15.8016,5.4278,18.901,16.1374,7.3478,69.2527
2023-03-01,12.6811,9.9308,16.9705,6.4618,6.2801,12.5036,14.821,21.7091,15.9014,15.1662,5.5983,18.901,16.1758,7.1909,72.402
2023-03-02,12.3611,10.0159,16.2873,6.7108,6.2259,12.3871,14.6806,20.9971,15.9744,15.3356,5.6664,18.3816,15.7538,7.0801,72.2397
2023-03-03,12.3422,9.9497,16.4701,6.6909,6.1838,12.4745,15.0689,21.0231,16.0069,15.0391,5.7687,19.0522,16.4315,7.1632,72.4832
2023-03-06,12.7094,10.3658,16.8443,7.1588,6.2801,12.591,14.4906,21.5007,15.9257,15.3695,5.8965,19.3349,16.5977,7.3571,69.9264
2023-03-07,12.6435,10.4509,17.2316,6.8601,6.3342,12.2803,14.2923,21.5615,15.7959,15.4542,5.9221,18.7498,16.0479,7.4032,69.2608
2023-03-08,12.8224,11.0184,17.4057,7.0493,6.4605,12.7463,14.8623,21.8307,15.9825,16.6065,5.9561,19.0391,16.2525,7.634,69.8939
2023-03-09,12.8035,10.9522,17.0271,6.9597,6.2981,12.4162,13.6644,21.4139,15.8203,16.3778,5.9902,18.8024,16.1822,7.6709,68.9767
2023-03-10,12.7188,10.6496,16.7051,6.5614,6.3222,12.2318,13.1522,20.9016,15.6742,16.0388,5.8198,18.6709,15.9712,7.4032,68.7495
2023-03-13,12.8129,10.7347,16.6006,6.5315,6.3523,12.4939,13.2679,20.6497,15.1875,16.2846,5.8198,18.0792,15.4661,7.274,69.0336
2023-03-14,13.133,10.8198,16.4742,6.5714,6.4665,12.5036,12.987,20.5803,14.9603,15.6491,5.7772,17.7571,15.1912,7.1447,69.662
2023-03-15,13.1989,10.9144,16.4917,6.661,6.5688,12.1929,12.2021,20.5282,14.5384,15.7084,5.8539,17.3232,14.9226,6.9509,67.5634
2023-03-16,13.4249,11.217,16.6674,6.661,6.5207,12.0376,12.2104,20.8668,14.6033,15.844,6.0499,17.2574,14.8715,6.914,67.8122
2023-03-17,13.3872,10.6874,16.3819,6.9696,6.3282,11.8532,12.0617,20.2677,14.7494,15.3102,6.2459,17.3298,15.0313,6.8863,68.6251
2023-03-20,13.2931,10.5739,16.2897,6.7904,6.3041,11.7949,11.8386,20.3198,14.652,14.7934,6.084,16.9222,14.6605,6.8032,69.1892
2023-03-21,13.133,10.5644,16.483,6.5614,6.262,11.2998,11.6899,20.7366,14.652,14.912,5.9902,17.2969,14.961,6.6555,68.6086
2023-03-22,13.133,10.4415,16.5225,6.1134,6.2801,11.1833,11.7643,20.615,14.5952,14.7855,5.7346,17.1457,14.9162,6.7478,67.7542
2023-03-23,12.973,9.8551,16.3424,5.5259,6.3282,11.0183,11.3925,20.1027,14.652,14.4003,5.4278,16.8104,14.5774,6.5817,66.0122
2023-03-24,13.0766,9.9875,16.5093,6.1532,6.3944,11.1251,11.376,20.3943,14.8548,14.5458,5.6238,16.8696,14.571,6.757,65.2573
2023-03-27,13.1142,10.0159,16.5181,6.0437,6.5508,11.1251,11.4421,20.7456,14.4654,14.7941,5.6238,17.126,14.8203,6.8586,65.1495
2023-03-28,13.7356,10.101,16.6323,6.2826,6.6994,11.5328,11.913,20.8422,14.5465,15.2992,5.6579,17.4218,15.0825,6.9324,65.838
2023-03-29,13.9427,10.0156,16.8255,6.3225,6.8219,11.659,12.1608,21.0442,14.7494,14.5544,5.6409,17.6059,15.2807,6.8678,66.7836
2023-03-30,13.9521,10.2724,17.133,6.5415,6.9505,12.2512,12.8217,21.6239,14.8143,15.1023,5.7772,17.8031,15.3254,6.9509,67.8703
2023-03-31,13.4908,9.8444,17.1769,6.1831,7.0056,12.0279,12.7557,21.7293,14.6763,14.1862,5.6579,17.4152,14.993,6.9324,66.6012
2023-04-03,13.4908,10.0632,16.9749,5.974,7.0914,11.8726,12.4748,21.1208,14.7899,13.1931,5.3682,18.2436,15.6579,6.8309,66.6177
2023-04-04,13.5849,10.301,17.2559,6.1034,7.1465,11.6008,12.2848,21.5427,14.8548,13.176,5.4278,17.9872,15.5172,6.8309,64.7348
2023-04-05,13.5567,10.2629,17.1944,6.1731,7.1587,11.1348,12.1443,21.5251,14.4897,12.8164,5.3426,18.0135,15.5684,6.674,63.7808
2023-04-06,13.5849,10.1773,17.1374,6.1134,7.1587,11.0377,12.0369,21.4548,14.5141,13.45,5.3682,17.8031,15.3446,6.6093,63.6647
2023-04-10,13.6132,10.377,17.1461,6.1432,7.2689,10.9795,12.4913,21.6833,14.7007,13.2359,5.4619,18.2765,15.6707,6.674,64.8924
2023-04-11,13.9144,11.0619,17.5414,6.7307,7.3975,11.6105,13.3587,22.3864,15.155,14.4688,5.7516,19.0785,16.4059,7.0063,68.3182
2023-04-12,13.8956,11.2806,18.7624,6.7805,7.6364,11.193,13.2431,22.5358,15.2767,14.7171,5.8028,19.0917,16.5274,7.034,66.8583
2023-04-13,13.7356,11.1665,18.7536,6.2627,7.5568,11.0862,12.9209,22.5358,15.1956,14.426,5.3938,19.3152,16.6425,7.0986,65.9541
2023-04-14,13.792,11.3853,19.0742,6.1432,7.5384,10.7376,11.9708,22.861,15.009,13.9551,5.2319,19.6045,16.8151,7.1632,65.3735
2023-04-17,13.8862,11.4328,19.1181,6.1731,7.6119,10.7962,12.1278,22.8171,15.0982,14.3318,5.3086,19.6899,17.0773,7.2555,64.5937
2023-04-18,13.7732,11.3092,19.1533,5.9939,7.6364,10.7279,12.3591,22.7995,15.2442,13.7411,5.4193,20.1896,17.512,7.3201,65.1495
2023-04-19,13.7261,11.0238,18.9293,5.974,7.5751,9.8298,12.0617,22.4392,15.3254,12.9877,5.3,19.5453,16.9494,7.1355,63.2499
2023-04-20,13.745,11.0904,19.1093,5.964,7.6792,10.2495,12.0039,22.5007,15.0739,12.9962,5.4108,19.6045,17.0645,7.4955,61.931
2023-04-24,13.5002,11.1855,19.0698,5.974,7.6609,10.4155,11.6073,22.2985,15.1226,12.9277,5.3938,19.9069,17.3906,7.394,59.6914
2023-04-25,13.4531,11.2236,18.8941,5.8844,7.6425,10.3472,11.3099,22.5007,14.8792,12.6452,5.3938,19.8017,17.3202,7.3847,58.0655
2023-04-26,13.3778,10.7004,18.7404,5.8844,7.5935,10.2398,11.2025,22.2722,14.871,12.825,5.266,19.519,17.1028,7.3755,58.2895
2023-04-27,13.3307,10.9192,18.7624,5.7948,7.6609,10.23,11.4338,22.6677,14.8873,12.8507,5.3682,18.9996,16.6873,7.4955,59.5255
2023-04-28,13.3307,11.1094,18.8239,6.3125,7.6319,10.4936,11.7395,22.7819,15.5201,13.5613,5.5471,19.5119,17.0691,7.6247,60.0563
2023-05-02,13.4249,10.7765,18.3759,6.0536,7.6381,10.191,10.9606,21.9003,15.5607,12.7736,5.4364,18.6413,16.3777,7.6801,57.6839
2023-05-03,13.7261,10.9477,18.3188,6.2926,7.5515,9.2344,11.0812,21.8652,16.1448,12.474,5.5812,18.5388,16.3201,7.9848,57.236
2023-05-04,13.7732,11.2521,18.5252,6.3922,7.5145,8.7853,10.3919,22.0411,15.8446,13.2359,5.6835,18.8095,16.5793,8.0124,55.4609
2023-05-05,13.6414,11.8799,18.9951,6.5315,7.3352,8.6096,11.1243,22.859,16.1529,14.4688,5.7346,19.5997,17.2852,8.1971,57.2692
2023-05-08,13.6602,11.8323,18.9205,6.9896,7.3167,9.2344,11.4087,23.1757,16.469,14.3832,5.7005,19.9216,17.6525,8.3263,58.0406
2023-05-09,13.6508,11.9464,18.8634,7.1489,7.4032,9.3808,11.4259,23.3164,16.5598,14.9825,5.692,20.0752,17.7101,8.4648,58.6379
2023-05-10,13.5567,11.9369,19.1093,7.0294,7.5021,9.5467,11.2105,23.6594,16.5516,14.9825,5.709,20.1118,17.6669,8.7786,57.5346
2023-05-11,13.6508,12.1557,19.5002,7.4575,7.6133,9.576,11.0381,23.8881,16.4525,14.4859,5.7261,20.5946,18.3151,9.1294,56.4148
2023-05-12,13.6038,12.2033,19.4256,7.3779,7.5206,9.7127,10.995,23.6682,16.5598,14.4003,5.5897,21.3189,18.9056,9.314,56.4729
2023-05-15,13.7638,12.3649,19.5178,7.2783,7.6381,9.8981,11.2018,23.7562,17.3114,14.8455,5.6324,20.8946,18.4807,9.3417,57.2858
2023-05-16,13.745,12.1842,18.9556,6.6112,7.533,9.4101,10.9347,23.677,17.0058,14.5373,5.3,21.3628,18.9416,9.2125,56.1079
