Date,ABX.TO,BMO.TO,BNS.TO,CM.TO,CNR.TO,CP.TO,ENB.TO,GIL.TO,KXS.TO,MFC.TO,RY.TO,SHOP.TO,SU.TO,T.TO,TD.TO,TRP.TO
2023-01-03,23.3928,111.7204,52.8692,49.0752,155.4,100.7318,45.6581,35.8329,154.66,21.7959,117.1523,48.79,37.2817,22.8032,77.514,44.1053
2023-01-04,24.4295,113.3003,53.8586,49.589,155.5622,101.7159,45.9063,36.0423,153.9,22.0465,118.1954,50.61,36.2883,23.0804,78.522,43.915
2023-01-05,24.4775,113.0938,53.9478,49.4738,153.1484,99.6001,46.0519,36.6704,148.25,21.8764,117.8477,48.83,37.1462,23.0544,77.2349,43.3026
2023-01-06,24.5927,114.7814,54.4912,50.1028,156.8884,102.5622,46.6255,37.1368,145.92,22.0913,119.3484,49.56,38.0765,23.4096,77.1991,44.8832
2023-01-09,24.3911,114.6467,54.5723,50.3331,157.2414,102.3752,46.9851,37.4223,149.21,22.0644,120.2359,49.81,38.1036,23.3577,76.9578,45.3383
2023-01-10,25.015,114.5839,54.8318,50.4305,155.6481,101.0073,47.1221,37.251,152.0,22.1718,121.6085,49.01,37.6249,23.3837,76.8684,45.3217
2023-01-11,24.7654,115.8137,54.9372,50.7317,156.7834,102.1489,47.4988,38.8308,150.0,22.5478,121.4895,48.92,38.0494,23.5742,77.2796,46.1823
2023-01-12,24.9478,116.6934,55.6022,51.2455,156.9933,102.5229,47.9868,39.5256,140.5,22.6731,122.1118,49.11,38.9796,24.1114,78.8348,46.7285
2023-01-13,25.2454,117.7526,56.1132,51.8213,158.0332,104.2745,47.8755,39.5827,141.7,22.7268,122.8713,52.09,39.2144,24.3887,79.4069,47.4235
2023-01-16,25.0534,118.2642,56.4295,51.8922,158.3672,103.8514,47.7385,39.7635,142.0,22.7268,123.2464,52.16,39.3318,24.5099,79.6392,47.5063
2023-01-17,24.1127,118.4976,56.4862,52.1668,158.9969,105.6818,47.7984,39.6589,140.24,22.7894,123.8046,53.53,39.7744,24.7352,80.399,47.7297
2023-01-18,23.8535,117.8872,56.1375,51.7239,158.2336,104.0482,47.6186,39.5637,146.54,22.5925,123.1366,52.89,39.4673,24.5879,79.5767,47.7711
2023-01-19,24.2087,117.9142,55.9266,51.3607,156.2777,103.1428,47.7214,39.4304,147.3,22.494,123.0451,51.29,40.2711,24.458,79.1655,47.92
2023-01-20,24.3335,118.7489,56.1132,51.591,157.4417,104.3533,47.9611,39.4304,150.14,22.8252,123.2647,54.16,39.9099,24.6659,79.7108,48.0111
2023-01-23,24.6599,119.5927,56.4538,51.9896,157.728,104.9437,47.9525,38.7452,147.16,22.8879,123.283,58.91,40.6866,24.6746,80.1309,48.1435
2023-01-24,24.9094,119.6197,56.2997,51.7061,158.2908,105.2389,47.5587,38.7452,146.0,23.0401,123.6399,57.09,40.4427,24.7092,80.3275,47.5228
2023-01-25,25.4182,119.8171,56.8593,51.7239,150.9063,101.3223,46.3858,38.7357,143.33,23.2996,123.3534,63.34,40.0544,24.6746,80.542,47.4318
2023-01-26,25.159,121.397,57.7433,52.0693,150.6582,100.8302,46.4029,38.6595,148.66,23.7562,125.3124,64.42,41.6258,24.7352,81.1319,47.6222
2023-01-27,25.1398,121.1702,57.5567,52.6806,150.2766,101.4797,46.5741,38.4597,149.2,23.4071,124.4254,66.66,41.6258,24.6052,81.7129,47.7463
2023-01-30,25.015,120.272,57.6216,52.8931,150.0286,101.9127,46.4628,39.0878,148.0,23.3713,124.8135,63.21,41.1291,24.7525,81.0247,46.9933
2023-01-31,24.9766,121.4787,58.4164,53.8056,151.1067,103.3495,46.6426,39.7064,154.65,23.5682,125.8207,65.57,41.7071,24.8392,82.285,47.4401
2023-02-01,25.4566,121.3698,58.6759,54.1067,151.3261,101.9718,46.3344,39.9634,156.15,23.8188,126.1256,66.79,41.2013,25.0731,81.7755,44.7756
2023-02-02,24.7462,121.2065,59.5194,54.4434,151.889,103.9006,46.2146,38.7071,159.0,23.4608,126.0332,71.39,39.657,24.8825,82.1866,46.0168
2023-02-03,23.5752,122.3677,59.495,54.7091,153.282,104.3533,46.557,39.7826,162.06,23.4787,127.6596,70.93,39.8557,24.7959,82.6067,46.3809
2023-02-06,23.6616,122.894,59.0571,54.3902,151.8127,103.2019,46.6255,37.9457,162.44,23.1117,127.6319,69.34,39.6299,24.6659,81.9632,46.5878
2023-02-07,23.8151,124.0007,59.8113,55.0634,150.9254,102.4638,46.7711,38.0124,164.27,23.2459,128.0939,68.82,40.5601,24.3193,82.9643,46.3395
2023-02-08,23.6808,123.9735,59.3815,54.8597,150.601,102.7886,45.5125,37.8125,164.24,23.3534,128.9533,66.98,40.3524,24.3367,83.0179,45.9423
2023-02-09,23.0184,123.2659,59.3004,54.5231,149.895,102.8771,45.2899,36.994,164.37,23.3892,128.6761,66.86,40.1537,23.4183,82.8302,45.5865
2023-02-10,22.98,122.8486,59.6654,54.6205,152.5569,104.619,46.3601,36.7561,161.23,23.3534,128.2232,64.44,41.2826,23.6089,83.1341,45.901
2023-02-13,22.9416,122.903,60.1438,55.09,153.5014,104.7764,46.694,37.2985,162.44,23.4518,128.4358,65.03,41.2826,23.6262,83.6257,46.0416
2023-02-14,22.8264,122.6671,59.9735,55.3292,152.1943,104.6583,46.1788,37.5555,165.04,23.3713,128.3064,66.82,41.8877,23.7215,83.2592,46.6871
2023-02-15,22.0777,122.4948,59.7221,55.3292,151.3166,104.491,46.0308,37.9457,165.95,23.3892,128.1401,71.44,42.0413,23.6869,83.143,46.8857
2023-02-16,21.8857,122.5764,59.5842,55.1254,150.7728,103.8022,45.8742,38.1646,162.34,24.2753,128.0199,60.39,41.2465,23.6436,82.8123,47.2084
2023-02-17,21.665,122.6399,59.1625,55.3823,150.0,102.9165,45.587,38.2408,159.02,24.2306,128.251,58.7,40.2711,24.0768,83.0089,47.0346
2023-02-21,21.569,120.0634,58.2461,54.4079,150.1431,102.2571,44.8646,36.8893,158.69,23.9173,127.7335,56.06,41.0388,23.7302,82.2224,45.1148
2023-02-22,21.0794,119.1108,58.0434,54.2928,148.9982,101.7159,44.6035,39.0212,156.72,24.1142,126.1811,57.01,40.0544,23.7649,81.6325,45.421
2023-02-23,20.897,118.2943,57.8325,54.2396,149.8855,102.454,44.6122,41.3815,156.26,23.9173,125.5527,57.38,40.8582,23.5742,80.8102,45.9258
2023-02-24,20.897,118.7388,57.8568,55.7101,149.561,101.9521,44.7863,40.544,156.04,23.9352,126.8002,55.43,41.7432,23.5396,81.4358,46.5216
2023-02-27,20.8395,118.6844,58.0109,55.5772,150.1717,103.2412,44.9342,40.4583,155.59,24.1121,127.5579,54.94,41.8335,23.5396,80.9353,45.6527
2023-02-28,21.1658,117.3235,54.6939,55.276,148.2731,101.9816,44.5513,41.2673,158.57,24.4842,128.0199,56.18,41.4181,23.5049,81.2034,44.9411
2023-03-01,21.329,118.3669,55.5049,55.3115,149.9904,103.0149,44.9951,41.4767,159.02,24.6748,123.4735,54.54,42.2129,23.4096,81.0336,45.4376
2023-03-02,21.3674,116.7429,55.7725,54.9483,152.8622,104.6583,45.7436,42.4474,167.4,24.6385,125.8669,55.97,43.1901,23.427,79.0672,45.9092
2023-03-03,21.569,118.5846,56.7376,55.8784,154.7226,105.1504,45.9786,43.5039,169.35,24.8472,126.3659,58.99,43.8111,23.6609,79.5946,46.4885
2023-03-06,21.3194,118.5029,57.0053,55.8518,153.2533,104.0187,45.996,42.6283,171.1,24.7655,126.791,59.2,43.6833,23.7908,79.3443,46.4471
