Date,0001.HK,0002.HK,0003.HK,0004.HK,0005.HK,0006.HK,0007.HK,0011.HK,0012.HK,0016.HK,0017.HK,0070.HK,1072.HK,2208.HK,600941.SS
2023-01-03,41.9535,50.5037,6.7444,21.9858,41.9152,37.2855,0.18,111.9256,23.7207,97.3538,21.3711,0.062,12.8303,6.774,65.9306
2023-01-04,42.5301,50.7697,6.8071,22.2232,43.0341,37.632,0.19,113.3904,23.8926,96.7298,21.7938,0.062,12.8303,6.7189,67.2318
2023-01-05,43.151,51.1244,6.8161,22.0807,44.11,37.5887,0.19,112.7872,23.9786,98.6911,21.7938,0.062,13.0331,6.82,67.8
2023-01-06,43.0623,50.7697,6.834,21.7958,44.9276,36.7226,0.188,113.3904,24.0645,97.3538,21.606,0.07,13.0331,7.0957,67.3143
2023-01-09,43.1953,50.7254,6.8519,21.226,45.8744,36.8525,0.188,112.9596,24.1934,97.3538,21.6999,0.065,13.3281,7.2704,67.2043
2023-01-10,43.284,51.0801,6.8877,20.6562,45.8744,37.1556,0.194,111.064,24.0645,96.8189,21.1832,0.098,12.9778,7.1877,66.9478
2023-01-11,42.3083,50.3707,6.843,20.0864,46.1756,36.9824,0.19,109.9439,24.0216,94.8576,21.1363,0.079,13.623,7.0682,68.0749
2023-01-12,42.9736,51.0801,6.8698,20.3238,46.5629,37.5887,0.19,110.3747,24.1934,96.8189,21.0893,0.073,14.1023,7.2336,69.596
2023-01-13,43.3283,50.7254,6.8698,20.0389,47.7679,37.6753,0.19,111.1501,23.8926,95.8383,20.9484,0.076,13.9364,7.0957,69.1378
2023-01-16,44.6588,50.9028,6.8609,20.2763,48.7577,37.9351,0.192,110.2885,24.7951,96.8189,21.559,0.082,13.8258,7.2704,67.635
2023-01-17,43.9049,50.7697,6.7803,19.8964,48.7577,37.8918,0.19,109.6854,24.838,97.3538,21.559,0.085,13.1069,7.1509,67.2868
2023-01-18,43.9049,50.9914,6.8251,19.8014,48.8868,38.0217,0.19,110.2885,25.0959,97.8888,21.2772,0.085,13.1437,7.1417,68.2856
2023-01-19,43.8162,51.1244,6.8161,19.6115,48.7577,38.3681,0.19,109.8577,25.3537,98.3345,21.512,0.085,12.9778,7.1233,68.3406
2023-01-20,44.0823,51.4348,6.8788,19.9439,48.9728,38.065,0.194,110.4608,25.4826,99.4935,22.2166,0.08,13.3834,7.3071,71.3554
2023-01-26,44.6588,51.1688,6.8788,20.2763,49.8335,38.628,0.198,111.6671,25.8694,100.6525,23.0151,0.078,13.6968,7.4358,70.662
2023-01-27,44.3484,51.3018,7.0042,20.0864,49.8766,38.628,0.198,113.3042,25.8264,101.0091,23.109,0.077,13.8258,7.2704,69.9686
2023-01-30,45.1466,52.3216,7.2281,19.8964,49.7905,38.9311,0.198,114.8551,25.6975,102.3464,23.0151,0.08,12.9962,7.1693,69.2753
2023-01-31,44.171,51.6122,7.04,19.3741,49.8766,38.3681,0.192,112.3564,24.881,99.0477,21.9817,0.078,12.8672,7.3531,69.7884
2023-02-01,44.9249,51.4348,7.0669,19.3266,49.1019,38.3248,0.192,111.1501,24.9669,99.226,22.4514,0.072,12.4432,7.6656,70.604
2023-02-02,44.7031,51.7452,7.0579,18.9182,49.6184,38.8878,0.198,108.9099,25.0959,98.9586,22.6863,0.072,12.6091,7.5829,70.2008
