Date,ASIANPAINT.NS,BHARTIARTL.NS,BPCL.NS,HDFCBANK.NS,HINDUNILVR.NS,ICICIBANK.NS,INFY.NS,ITC.NS,KOTAKBANK.NS,LT.NS,MARUTI.NS,RELIANCE.NS,SBIN.NS,TCS.NS,TITAN.NS
2023-01-02,2987.7375,805.2925,149.7842,1588.5416,2484.9956,880.1657,1459.6324,310.4676,1821.5521,2036.1052,8247.0615,1180.5861,590.6256,3152.5322,2540.4502
2023-01-03,2969.1089,809.3512,151.1302,1598.9292,2469.115,879.0928,1458.2438,308.8353,1829.3372,2035.6184,8226.8936,1171.9467,590.8185,3200.7656,2587.8284
2023-01-04,2957.9319,803.6097,150.8834,1570.3516,2463.3357,876.8984,1431.6658,305.011,1817.2603,2017.688,8266.1992,1154.3014,583.8723,3203.9553,2571.9365
2023-01-05,2945.6758,798.9571,153.5978,1560.2568,2509.5696,857.4411,1412.8934,311.0273,1816.8112,2034.0591,8303.7861,1152.239,583.7758,3200.5242,2536.8362
2023-01-06,2920.2324,787.9691,154.6522,1555.0875,2502.5276,848.6146,1387.3213,312.5197,1783.3755,2033.2795,8227.1875,1162.7115,579.4827,3104.2983,2513.0728
2023-01-09,2925.8701,811.1331,155.5719,1558.111,2548.7622,851.7843,1421.7528,315.3179,1808.4274,2067.532,8221.251,1190.1648,586.2842,3209.0784,2460.1497
2023-01-10,2902.5352,784.8509,155.8411,1529.6311,2567.9941,840.0806,1407.6737,310.9806,1792.1086,2052.8662,8138.9595,1172.5654,574.1765,3176.6489,2443.8618
2023-01-11,2882.9744,757.8264,158.1517,1551.6738,2518.8457,844.9084,1409.1104,309.4882,1798.3965,2071.0891,8130.4209,1157.7847,575.6719,3217.5366,2413.3655
2023-01-12,2859.0022,749.2636,154.8092,1559.9642,2515.7378,839.3979,1418.0654,307.6693,1776.0894,2104.6106,8213.5957,1132.7832,573.9353,3222.9973,2422.4749
2023-01-13,2852.3347,756.5889,157.0749,1561.1835,2548.7136,851.8818,1440.142,306.6433,1776.8878,2098.4229,8296.2305,1130.9501,578.952,3261.8552,2393.365
2023-01-16,2859.1001,751.4909,156.5589,1546.2119,2522.5854,843.8843,1461.0692,307.9958,1781.3793,2082.6365,8224.292,1120.1794,581.7498,3230.3657,2382.127
2023-01-17,2883.4648,757.9748,156.3122,1569.23,2591.0142,843.7869,1474.4778,309.908,1794.2046,2156.5989,8321.6973,1136.0831,572.054,3273.3364,2384.2061
2023-01-18,2887.73,768.7153,155.2578,1596.9297,2609.1287,848.0294,1480.1287,312.1466,1795.6517,2208.6353,8336.124,1134.2041,570.6068,3284.5757,2400.197
2023-01-19,2810.1748,764.2112,156.873,1603.562,2573.7246,844.7621,1473.9031,309.8146,1763.9128,2215.0669,8343.583,1132.9896,569.0632,3268.2014,2361.532
2023-01-20,2733.3547,756.7375,155.3924,1619.9965,2475.6228,848.8583,1461.1169,312.0999,1759.5212,2192.5078,8282.8828,1119.515,571.3304,3258.5127,2347.9175
2023-01-23,2730.0703,764.9042,156.8506,1631.8469,2521.9053,850.1751,1482.6187,315.0381,1780.3312,2176.4778,8260.6045,1113.8546,579.2897,3308.7017,2341.3823
2023-01-24,2755.7097,767.8245,156.5589,1653.6947,2525.8879,849.2485,1486.3541,316.1574,1756.8762,2151.1416,8537.0674,1107.2778,573.4046,3329.436,2347.3728
2023-01-25,2720.8052,768.6659,155.5719,1607.9999,2547.1111,834.1801,1477.83,316.4372,1746.4463,2119.179,8620.7812,1091.9698,548.6586,3323.0898,2333.3625
2023-01-27,2669.4773,766.686,150.9956,1575.9598,2537.2034,797.0208,1454.9873,322.7333,1709.8167,2104.708,8575.0479,1071.2538,520.9218,3304.9714,2308.2625
2023-01-30,2712.1768,762.4294,150.345,1574.3506,2494.4661,803.1652,1473.8074,321.614,1722.9414,2058.9568,8653.0693,1081.5203,519.2334,3326.8684,2312.52
2023-01-31,2672.6147,762.5284,154.0016,1563.963,2502.8188,811.3578,1468.9706,328.6563,1727.6823,2070.1633,8729.9141,1078.816,533.9942,3254.249,2353.7097
2023-02-01,2690.1653,761.3405,150.1656,1587.4202,2500.3906,827.0115,1485.5879,337.0977,1741.356,2090.7734,8605.8145,1072.4226,508.7657,3302.3552,2322.7676
2023-02-02,2652.8093,769.9033,149.0439,1563.8168,2559.2524,836.7158,1516.8588,353.1411,1758.3733,2090.1396,8705.2324,1066.4873,509.4893,3352.7864,2285.3406
2023-02-03,2706.49,784.9005,146.5763,1617.8995,2572.7537,842.4701,1531.8479,355.0533,1776.8878,2111.2373,8776.04,1067.4269,525.022,3374.0054,2438.8123
2023-02-06,2700.4109,781.2872,149.7393,1611.0234,2561.9236,832.6196,1503.5458,357.6184,1743.6517,2101.054,8742.3779,1059.3833,526.1797,3352.3506,2433.7625
2023-02-07,2704.1858,777.9711,149.0215,1613.413,2526.5676,831.6929,1496.4106,348.1509,1771.9972,2110.019,8599.5342,1056.8396,527.8197,3364.5586,2422.7717
2023-02-08,2711.5884,767.28,149.9413,1613.2179,2508.6958,837.8861,1523.3237,350.2963,1762.1162,2076.4487,8670.4404,1077.9453,530.3764,3410.6301,2442.426
2023-02-09,2759.6316,758.9153,149.7169,1609.853,2512.4839,839.5442,1548.7045,349.0837,1767.5059,2092.5759,8637.5635,1079.8243,531.3894,3430.7349,2438.2678
2023-02-10,2749.8267,764.1618,149.8515,1616.2415,2503.5479,832.7658,1540.6115,346.3787,1768.6537,2108.6062,8647.5244,1070.9331,533.5601,3427.5376,2444.1589
2023-02-13,2736.2471,760.8455,150.2553,1617.4607,2506.9475,829.6448,1501.2473,349.037,1770.4003,2147.0488,8645.6611,1064.8374,518.5581,3374.1021,2494.2104
2023-02-14,2722.7661,767.379,148.5728,1632.4321,2505.5876,843.933,1525.9575,360.4633,1766.9568,2135.6963,8611.3115,1089.9304,521.79,3391.2522,2482.1804
2023-02-15,2731.7371,777.4761,148.5728,1629.1161,2475.3311,849.2972,1529.5973,362.1214,1782.0778,2119.52,8680.8926,1114.6108,523.1407,3411.1631,2499.4087
2023-02-16,2751.1506,776.5357,146.1277,1623.2152,2454.5938,847.9806,1534.1465,362.4529,1784.5231,2122.687,8641.3906,1113.7401,521.0664,3447.3999,2497.5273
2023-02-17,2778.2607,768.9628,148.8196,1615.0712,2443.3264,841.3485,1516.9067,363.2583,1755.8782,2169.5105,8643.9922,1118.392,512.2872,3392.269,2475.6455
2023-02-20,2770.3674,771.2891,146.3295,1599.9045,2439.3926,831.059,1525.1913,363.8741,1733.9703,2168.6819,8532.0137,1106.5674,506.6433,3378.8501,2449.7532
2023-02-21,2762.083,771.1901,145.0284,1605.9028,2443.9578,833.1072,1512.7883,362.1687,1726.8838,2172.5315,8508.6553,1115.5963,505.0032,3343.679,2439.3074
2023-02-22,2741.3457,764.3598,143.7722,1574.3992,2422.4919,818.5264,1495.8359,363.6847,1697.2906,2138.717,8497.958,1090.297,498.1534,3295.7668,2407.5735
2023-02-23,2653.1035,755.2526,143.8171,1563.7192,2419.1895,819.014,1485.2046,367.2376,1703.8781,2104.0259,8534.5645,1085.0721,502.6395,3307.6357,2370.8887
2023-02-24,2685.0176,749.4615,142.4711,1549.7719,2412.9248,818.9653,1485.157,364.869,1694.0469,2079.5669,8499.4795,1092.4969,502.6878,3294.7007,2375.4434
2023-02-27,2696.1953,745.304,143.7722,1553.6245,2397.335,835.2529,1445.5533,362.1214,1722.6418,2059.7361,8471.7061,1085.2325,509.1034,3228.2344,2377.3245
2023-02-28,2773.5542,734.7614,142.3814,1560.1593,2390.0503,833.7411,1424.722,356.9103,1725.9357,2055.3025,8464.002,1064.4707,504.3761,3209.8252,2349.4028
2023-03-01,2785.4177,742.6312,141.7308,1558.6476,2395.4897,835.1553,1432.8629,358.8052,1741.5557,2061.2957,8601.2031,1074.2557,517.7863,3280.4097,2358.908
2023-03-02,2778.5544,732.6331,144.0414,1545.3828,2384.9023,832.9121,1409.9724,355.8207,1718.4001,2067.4348,8389.8066,1066.0748,514.9402,3218.1577,2335.6892
2023-03-03,2773.603,756.6879,144.1984,1576.0574,2400.103,847.1028,1416.8206,364.7269,1747.644,2097.1072,8441.3311,1093.2761,541.4229,3238.2139,2372.4731
2023-03-06,2808.606,758.8657,145.6117,1587.1764,2413.5559,846.3226,1443.7812,367.7588,1747.644,2086.4856,8470.9697,1103.955,541.9053,3266.9907,2379.7502
2023-03-08,2803.7036,758.8162,146.3071,1590.3462,2413.7988,850.5652,1429.6544,371.7855,1736.8646,2115.3787,8532.2598,1107.9194,544.896,3284.9631,2373.4631
2023-03-09,2797.8208,765.5972,145.7463,1590.4924,2390.7786,834.8139,1417.8739,367.1429,1713.4097,2137.2068,8383.1338,1081.291,539.2039,3233.0789,2344.8975
2023-03-10,2774.927,765.9436,146.2847,1549.4792,2394.7126,821.8424,1409.3976,367.6166,1696.0431,2102.7593,8441.625,1064.5396,528.0609,3227.4104,2352.0759
2023-03-13,2729.825,757.5789,144.7368,1529.8749,2384.6594,807.9443,1374.4871,363.4951,1670.6918,2079.3721,8360.0215,1047.0316,511.3224,3179.886,2309.0049
2023-03-14,2691.9792,764.0132,146.352,1525.7784,2372.3723,809.8461,1360.0249,359.7527,1645.0908,2089.4575,8353.8887,1043.113,506.8845,3114.9697,2332.3723
2023-03-15,2772.1812,749.0162,148.1915,1503.882,2337.0654,805.506,1359.6898,359.4684,1662.757,2121.0791,8317.3799,1025.2844,499.3111,3099.4189,2375.4434
2023-03-16,2836.7456,738.4241,157.4338,1513.6354,2388.7878,803.5554,1344.7964,361.4107,1660.3616,2118.1072,8280.5771,1020.1741,506.0162,3085.9514,2426.188
2023-03-17,2806.7429,749.6101,157.6581,1533.8738,2377.1802,815.6004,1360.6953,355.8207,1689.8549,2139.6917,8162.2183,1018.8908,511.1294,3080.4285,2431.4355
2023-03-20,2799.3896,747.1848,161.3596,1523.2426,2439.1497,815.7955,1344.3655,358.9,1696.3923,2121.9563,8066.7769,1008.8765,500.903,3045.5476,2435.6934
2023-03-21,2783.6528,749.3131,160.866,1540.506,2391.9446,831.3516,1331.9624,357.1472,1703.5786,2152.0674,8075.4136,1040.2484,503.4596,3009.5046,2489.2598
2023-03-22,2784.3884,749.0657,157.8376,1536.9462,2405.3,838.959,1330.5736,357.9051,1701.8818,2157.427,8098.9678,1043.4109,503.1702,3033.4373,2483.4177
2023-03-23,2743.1597,755.8466,156.2897,1524.608,2413.7988,834.3264,1316.4946,360.6528,1676.4806,2150.3135,8197.8936,1030.2113,494.6803,3027.4778,2494.2104
2023-03-24,2743.8459,754.7576,154.9662,1522.1697,2409.6223,831.3516,1322.337,358.8052,1688.9069,2110.8472,8089.644,1009.816,487.5411,3023.457,2468.7642
2023-03-27,2748.9932,754.0647,154.7194,1528.802,2427.3,827.743,1330.2863,360.2264,1701.9316,2099.0076,8124.4346,1025.5134,492.1719,3025.2009,2469.8035
2023-03-28,2730.0703,740.8989,152.4762,1541.2375,2411.5647,833.6436,1319.4158,359.8,1695.6438,2079.1284,8056.1777,1030.303,490.1942,3019.0,2475.6455
2023-03-29,2716.3926,736.0978,152.4762,1548.6503,2458.2363,829.9861,1325.1145,362.6424,1717.7513,2092.6245,8141.0693,1024.2074,498.2981,3041.2847,2490.25
2023-03-31,2707.7153,741.4434,154.4727,1569.864,2486.8899,855.588,1367.6392,363.3531,1729.5288,2108.947,8137.9785,1068.3665,505.2926,3106.2012,2490.1013
