Date,A2A.MI,BMPS.MI,BPE.MI,ENEL.MI,ENI.MI,EXXRF,FCAU.VI,ISP.MI,MB.MI,PIRC.MI,SPM.MI,STM,TRN.MI,UNI.MI
2023-01-02,1.1397,1.9532,1.6829,4.3897,11.7824,72.509,11.7347,1.7753,7.8029,3.7718,1.184,34.7999,6.4216,4.0949
2023-01-03,1.1496,1.9165,1.7048,4.4992,11.8494,72.509,11.7054,1.8167,7.8823,3.9415,1.1805,34.7999,6.4363,4.1697
2023-01-04,1.1757,1.9656,1.7494,4.6579,11.6689,76.6665,12.19,1.8635,8.0117,4.0798,1.1445,35.932,6.6288,4.2445
2023-01-05,1.1609,1.8928,1.7434,4.6503,11.6964,72.3111,12.1608,1.8522,7.9979,4.0964,1.149,35.5383,6.5005,4.1857
2023-01-06,1.1766,1.892,1.7889,4.7547,11.8941,76.3201,12.3997,1.8677,7.9927,4.1988,1.2205,37.517,6.6398,4.2454
2023-01-09,1.1906,2.1133,1.7975,4.753,11.9852,76.3201,12.5182,1.8635,8.0721,4.1988,1.2605,38.9543,6.6325,4.2249
2023-01-10,1.1991,2.0394,1.8121,4.6995,12.011,77.211,12.6437,1.8815,8.117,4.1878,1.247,39.5351,6.6508,4.2017
2023-01-11,1.2423,2.0666,1.8113,4.7793,12.2397,77.6465,12.544,1.8894,8.2412,4.2108,1.196,39.8895,6.6948,4.1964
2023-01-12,1.2477,2.0971,1.8216,4.8447,12.3909,77.6317,12.7296,1.9099,8.3482,4.2846,1.196,40.1258,6.7847,4.2044
2023-01-13,1.2527,2.1013,1.8808,4.8625,12.3961,77.6317,12.1952,1.9133,8.3378,4.2514,1.2045,40.4998,6.7168,4.2338
2023-01-16,1.2549,2.0399,1.9014,4.9304,12.3153,77.7926,12.3051,1.9108,8.3171,4.28,1.2365,40.7902,6.7719,4.2498
2023-01-17,1.2599,1.9913,1.8722,4.8897,12.3531,77.9534,12.2794,1.8907,8.3327,4.3243,1.225,41.0807,6.836,4.2525
2023-01-18,1.2653,1.9756,1.9341,4.8931,12.4288,77.3595,12.257,1.8815,8.2395,4.3538,1.3115,41.6319,6.7627,4.2543
2023-01-19,1.2257,1.9256,1.9323,4.8022,12.2517,76.4686,11.9718,1.8589,8.1411,4.2348,1.268,40.0962,6.6875,4.2071
2023-01-20,1.2032,1.9322,1.9693,4.7963,12.4253,76.4686,12.0113,1.8234,8.2654,4.185,1.3765,41.1397,6.6948,4.2525
2023-01-23,1.2356,2.037,1.9813,4.8104,12.3772,78.2009,12.0611,1.8727,8.3033,4.2459,1.3865,42.3211,6.7242,4.2667
2023-01-24,1.245,2.017,2.0096,4.8368,12.1881,75.5282,12.0405,1.9112,8.3551,4.2228,1.34,41.7796,6.7517,4.2587
2023-01-25,1.2585,2.0051,2.0139,4.8209,12.0987,77.013,11.9787,1.9191,8.4051,4.2145,1.316,42.6558,6.7535,4.2997
2023-01-26,1.259,2.0761,2.056,4.8253,12.2036,77.013,12.0715,1.9588,8.5121,4.2818,1.332,45.9635,6.6985,4.3406
2023-01-27,1.2662,2.0813,2.0878,4.8271,12.2844,77.0625,12.2003,1.966,8.5432,4.2283,1.392,47.0464,6.6802,4.3228
2023-01-30,1.2491,2.2104,2.0869,4.7813,12.1795,77.0625,12.0371,1.9601,8.5742,4.197,1.408,46.1998,6.6985,4.3086
2023-01-31,1.241,2.3343,2.1617,4.7444,12.1503,77.0625,12.3567,2.0153,8.5035,4.2302,1.405,46.4852,6.649,4.273
2023-02-01,1.2405,2.3453,2.2329,4.6405,11.901,77.3595,12.465,2.0512,8.6019,4.2283,1.389,48.5033,6.6747,4.3744
2023-02-02,1.2648,2.3067,2.1711,4.7364,11.8185,79.6857,12.465,2.0529,8.6243,4.2975,1.36,49.6354,6.8434,4.4083
2023-02-03,1.2419,2.3719,2.1814,4.7188,11.8993,79.6857,13.0818,1.9927,8.6623,4.4525,1.382,48.6707,6.6545,4.3477
