Date,4503.T,4523.T,4578.T,4661.T,6758.T,6762.T,6954.T,7203.T,7974.T,8035.T,8053.T,8306.T,8308.T,8316.T,9432.T,9984.T
2023-01-04,1747.7085,7659.6504,3981.4836,3717.2351,2014.1005,831.5264,3803.6519,1669.9803,5182.6914,12406.2139,1962.6035,853.9429,699.8665,1697.9973,139.2266,5554.1499
2023-01-05,1731.8696,7603.4741,3953.5195,3733.1123,2057.6914,832.5152,3795.9893,1677.8705,5223.3062,12903.624,1940.8721,840.8507,676.6379,1667.3544,139.2636,5657.5513
2023-01-06,1741.3729,7627.8174,3956.4126,3750.9739,2107.2266,849.3237,3792.1577,1694.1156,5178.9136,13297.6787,1942.2302,831.9997,675.6035,1672.093,138.4494,5727.4702
2023-01-10,1721.0085,7996.709,3897.5916,3792.6514,2125.0591,856.2448,3814.1885,1695.9722,5166.6343,13707.8818,1944.494,823.6096,665.7289,1669.5658,136.784,5862.3853
2023-01-11,1732.7747,7798.2192,3940.9841,3787.6899,2199.3621,864.1547,3989.4763,1705.7191,5239.3643,13885.5273,1968.4889,837.1628,675.1332,1688.5201,137.9313,5878.1416
2023-01-12,1739.1102,7595.0474,3940.0198,3752.9585,2208.2783,873.0533,4067.0627,1724.2847,5144.9097,14134.2334,1990.2202,879.2053,690.6503,1762.7582,138.5604,5932.3047
2023-01-13,1707.8849,7586.6211,3912.0559,3759.9048,2172.613,859.2111,4025.8748,1685.2969,5097.6826,14563.8154,1987.5035,900.872,707.8602,1806.9851,138.4124,5833.8262
2023-01-16,1722.8187,7742.979,3903.3772,3774.7898,2150.8176,838.4476,3986.603,1687.1534,5112.7949,14218.2109,1975.7327,874.9642,673.7227,1756.7559,137.8573,5757.0137
2023-01-17,1713.7681,7633.4346,3932.3057,3780.7434,2203.3247,860.1998,4071.8521,1729.3904,5185.5249,14502.4473,1989.7671,876.4394,661.4971,1743.4878,138.5234,5864.355
2023-01-18,1773.9559,7812.2637,4024.8757,3841.2754,2248.8975,889.8618,4180.0898,1772.5553,5296.981,14751.1514,2039.5681,869.5245,660.5566,1739.6969,139.1896,6006.1626
2023-01-19,1755.8541,7645.6069,3982.448,3906.7686,2254.8416,864.1547,4117.8291,1730.7827,5228.0293,14382.9385,2012.4042,853.7585,657.077,1708.7382,138.8935,5785.5728
2023-01-20,1772.598,7859.0767,4009.4475,3980.2004,2264.7488,876.0195,4130.2808,1747.9559,5204.4155,14357.0996,2044.5483,864.4536,667.1396,1727.0607,140.6699,5792.4663
2023-01-23,1767.1678,7749.5332,4016.1973,4052.6396,2268.7114,893.8168,4205.9521,1753.5255,5228.0293,14718.8535,2064.9209,863.716,674.0988,1743.4878,141.7432,5892.9131
2023-01-24,1781.1963,7685.8662,4069.2319,4167.749,2312.3022,902.7154,4273.9604,1774.412,5247.8643,15019.2373,2114.2693,885.3826,688.1111,1784.8717,144.1488,6092.8232
2023-01-25,1789.7947,7786.0474,4075.0181,4190.5718,2311.3118,911.614,4266.2974,1768.3782,5264.8662,14980.4785,2108.8362,887.1345,686.4184,1788.0305,144.2968,6088.8843
2023-01-26,1787.532,7753.2778,4055.7324,4216.3726,2281.5903,917.5464,4266.2974,1757.2386,5322.4834,14709.1631,2110.6475,877.7302,689.1456,1783.6079,144.5928,6103.6558
2023-01-27,1754.4966,7629.6895,4032.5896,4175.6875,2304.3765,906.6703,4284.4961,1764.2009,5317.7607,14689.7842,2136.9062,901.7018,701.183,1832.2577,143.5196,6096.7622
2023-01-30,1731.8696,7592.2388,4021.0188,4139.9644,2298.4326,911.614,4437.7539,1765.5933,5287.5356,14789.9121,2109.7419,903.5457,697.9857,1832.2577,143.8897,6070.1738
2023-01-31,1730.9645,7501.4204,4009.4475,4282.8589,2294.4697,910.6253,4387.9453,1760.4879,5313.0381,14589.6553,2103.4036,878.3755,675.4153,1785.5033,144.0377,6050.478
2023-02-01,1721.4613,7507.9746,4004.6257,4278.8892,2272.6743,924.4676,4367.8301,1766.5216,5270.5337,14899.7305,2107.9309,874.5032,667.7039,1794.033,143.8157,6158.8037
2023-02-02,1719.6509,7429.3271,3967.9836,4241.1807,2276.637,926.4451,4388.9028,1745.6353,5272.4229,15335.7734,2045.0011,862.6096,658.8638,1767.8126,142.2613,6221.8296
2023-02-03,1710.1478,7367.5332,3940.9841,4293.7729,2417.3169,949.186,4405.186,1755.8464,5310.2041,15342.2324,2053.6028,856.0635,663.7539,1776.658,141.7432,6231.6772
2023-02-06,1721.0085,7144.7007,3972.8049,4283.8511,2380.6609,944.2423,4427.2168,1776.2684,5309.2603,15041.8467,2081.2195,838.0848,651.3404,1743.1719,142.4464,6235.6157
2023-02-07,1732.3221,7112.8667,3941.9482,4281.8657,2388.5867,938.3099,4421.4697,1760.9519,5312.0938,15087.0674,2104.762,864.9146,669.4907,1779.817,142.7424,6172.5903
2023-02-08,1749.0662,7213.9849,3984.376,4344.3818,2368.7722,933.3662,4426.2593,1761.4161,4912.5527,15267.9443,2116.0803,869.7089,683.6912,1793.0852,143.2976,5857.4614
2023-02-09,1740.9204,7086.6509,3984.376,4324.5356,2366.7908,926.4451,4385.0713,1764.665,4986.2271,14941.7188,2130.5676,871.1841,682.3745,1793.0852,142.1873,5858.4463
2023-02-10,1733.2271,7012.6855,3989.1975,4264.9961,2365.8005,911.614,4380.2822,1744.2428,5012.6748,15590.9375,2135.0952,883.0776,691.2145,1812.9873,142.1873,5788.5273
