Date,AENA.MC,ANA.MC,BBVA.MC,CIE.MC,CLNX.MC,FER.MC,GAM.MC,IBG.MC,ITX.MC,MAP.MC,MEL.MC,REP.MC,SAB.MC,SAN.MC,TEF.MC
2023-01-02,111.9408,161.079,4.8555,22.5877,31.1866,23.4686,1.12,12.0825,24.3114,1.5706,4.6537,13.0274,0.7768,2.6213,2.9638
2023-01-03,112.7295,160.8005,4.9285,22.5597,31.2365,23.4399,1.12,12.1727,24.1025,1.5575,4.6893,12.7358,0.7868,2.6282,2.9724
2023-01-04,115.4665,162.7501,5.1225,23.1765,31.6051,23.6979,1.155,12.3079,24.8337,1.5862,4.7505,12.397,0.806,2.7257,3.0438
2023-01-05,117.7397,160.5219,5.1679,23.4568,32.2428,23.6406,1.2,12.3981,24.9952,1.5653,4.8829,12.6629,0.8179,2.7358,3.0489
2023-01-06,118.5283,163.5857,5.2149,23.812,32.5019,24.0992,1.195,12.3079,25.4605,1.5888,4.9501,13.0145,0.8414,2.8025,3.0567
2023-01-09,118.2036,164.7926,5.2711,23.812,32.731,24.319,1.195,13.1195,25.546,1.5992,5.0489,13.0101,0.839,2.7777,3.055
2023-01-10,118.4819,167.3922,5.2989,23.868,32.4819,24.6057,1.185,13.39,25.394,1.6227,5.1082,12.9838,0.8521,2.7929,3.0705
2023-01-11,120.5695,172.9626,5.2678,23.8493,31.6848,24.3286,1.22,13.9761,25.8973,1.5966,5.3009,12.9399,0.8378,2.7731,3.086
2023-01-12,122.6107,172.8698,5.3081,23.9241,31.4158,24.6821,1.19,14.1564,26.1443,1.5992,5.5577,13.054,0.8466,2.8361,3.1273
2023-01-13,125.023,174.2624,5.3425,24.4661,31.7645,24.9401,1.23,13.7957,26.1063,1.6079,5.6615,13.0803,0.8464,2.8853,3.123
2023-01-16,124.3736,175.098,5.3728,24.7278,32.2328,25.1026,1.23,13.5703,26.0968,1.614,5.5627,13.0057,0.8315,2.8508,3.1264
2023-01-17,125.3941,177.2333,5.387,25.0082,33.0798,25.3892,1.26,13.7957,26.0398,1.6288,5.6022,13.1067,0.827,2.8586,3.1195
2023-01-18,127.8065,176.5834,5.4105,24.8586,33.6975,25.5899,1.25,13.6605,26.1632,1.6271,5.8591,13.3525,0.8289,2.8835,3.0705
2023-01-19,125.1158,173.4268,5.2989,24.3166,33.1097,25.2172,1.175,13.6605,25.546,1.6036,5.8295,13.291,0.8221,2.8035,3.0309
2023-01-20,127.5745,174.7266,5.3467,24.7652,36.3678,25.4753,1.2,13.7957,25.8024,1.6123,6.0172,13.4798,0.8313,2.849,3.073
2023-01-23,126.8787,174.3552,5.4164,24.84,36.1486,25.7237,1.195,14.1564,25.9068,1.6218,6.0073,13.6334,0.8397,2.8476,3.086
2023-01-24,127.4817,175.098,5.4005,25.1016,36.4276,26.0486,1.195,14.0662,26.1158,1.6227,6.0518,13.4227,0.8464,2.8554,3.0481
2023-01-25,131.1002,173.0555,5.2837,24.84,36.1785,25.8575,1.195,13.8859,26.3342,1.6149,6.1209,13.1989,0.8541,2.8458,2.9965
2023-01-26,130.0796,171.1058,5.3887,25.139,35.501,26.125,1.2,13.5252,26.8755,1.6357,6.1456,13.3262,0.9479,2.9382,2.9698
2023-01-27,130.4507,170.8273,5.403,25.625,36.0191,26.1919,1.23,13.8408,26.9705,1.6131,6.0073,13.4008,0.9976,2.9175,2.9956
2023-01-30,128.9662,167.2065,5.4072,25.6063,36.2184,26.1346,1.225,13.6605,27.1224,1.6149,5.9579,13.2823,0.992,2.9391,3.0154
2023-01-31,127.5745,166.1852,5.4273,25.4567,35.7501,25.8384,1.185,13.7055,27.1794,1.6036,6.0271,13.2471,1.0263,2.9465,3.0008
2023-02-01,129.3837,167.5778,5.6826,26.167,35.5608,25.9053,1.2,13.7055,27.3788,1.6062,6.0073,13.1462,1.0409,2.9884,3.0076
2023-02-02,131.0538,173.334,5.7087,26.2978,37.0254,26.1155,1.19,13.7957,27.5403,1.6018,6.2247,12.7599,0.9993,3.1595,3.0481
2023-02-03,130.6827,171.013,5.8002,26.9894,36.2582,26.039,1.19,14.3367,27.6732,1.6201,6.2247,12.659,0.974,3.2183,2.981
2023-02-06,129.291,170.9201,5.7019,26.3539,36.308,25.9913,1.2,14.1113,27.3408,1.5906,6.116,12.4614,0.9693,3.1696,2.9612
2023-02-07,128.4559,170.9201,5.691,26.466,36.1885,25.8288,1.195,14.0662,27.2649,1.5992,6.0765,12.6721,0.9783,3.2381,3.0068
2023-02-08,129.8477,172.9626,5.6709,26.4287,36.7564,25.867,1.25,13.8408,27.4073,1.601,6.1456,12.9355,1.007,3.2459,3.0601
2023-02-09,132.7703,171.7557,5.7103,26.2418,37.145,26.2684,1.24,13.9761,27.5688,1.6201,6.1061,12.9223,1.0113,3.2216,3.0317
2023-02-10,127.8993,171.57,5.66,25.681,37.0553,25.9721,1.24,13.9761,26.3057,1.6462,5.8295,13.4491,0.9959,3.1723,3.061
2023-02-13,130.7755,172.0342,5.7364,25.4381,37.7926,26.3448,1.24,14.1113,26.7141,1.7192,5.948,13.4052,1.0134,3.2018,3.0429
2023-02-14,130.5899,172.2199,5.7733,25.3633,38.3606,26.2301,1.24,14.1113,26.866,1.6975,6.0369,13.5412,1.0143,3.2202,3.1514
2023-02-15,131.3322,174.2624,5.7792,25.4007,38.6196,26.1919,1.2,14.0211,27.1319,1.6844,6.0863,13.4666,1.0224,3.193,3.1849
2023-02-16,131.1002,170.1774,5.8867,25.3446,37.7727,26.0773,1.19,13.9761,27.0369,1.7009,6.0616,13.5237,1.0391,3.2694,3.2452
2023-02-17,130.2652,173.4268,5.8581,25.2698,37.8425,25.3128,1.225,14.1113,27.3503,1.7088,6.0073,13.1813,1.0391,3.2418,3.2839
2023-02-20,130.0332,172.6841,5.8556,25.3446,37.693,25.1504,1.22,14.0662,27.1509,1.7088,5.9777,13.1418,1.016,3.2294,3.2606
2023-02-21,130.1724,172.0342,5.8514,25.5689,37.6033,24.8159,1.23,14.0662,27.0085,1.7122,5.9727,12.9443,1.025,3.2409,3.2409
2023-02-22,128.1776,169.806,5.8338,25.2511,36.9457,24.6152,1.235,13.9761,27.0559,1.7009,5.864,12.9355,0.9924,3.1894,3.2779
2023-02-23,130.5435,169.3418,5.906,25.5128,35.9194,25.0357,1.23,13.9761,27.0749,1.734,5.9628,13.1023,1.0053,3.2381,3.3278
2023-02-24,131.1466,169.6203,5.9018,25.3446,35.76,24.835,1.23,13.7957,26.809,1.754,5.9381,13.0365,1.0164,3.2013,3.3596
2023-02-27,132.26,171.3843,6.0353,25.9801,35.6803,24.9019,1.17,14.5171,27.5403,1.7626,6.1358,13.1199,1.0344,3.268,3.3674
2023-02-28,135.8321,165.3497,6.1915,25.8679,35.4312,25.093,1.21,14.472,27.6257,1.7626,6.1901,13.1725,1.0576,3.4244,3.3123
2023-03-01,135.6929,163.6785,6.0672,25.9053,34.8434,25.2459,1.18,15.013,27.5403,1.7696,6.2494,13.3349,1.0666,3.3945,3.3501
2023-03-02,136.2496,164.1427,6.0966,25.8493,34.2256,25.5421,1.17,14.8326,27.4928,1.7748,6.1407,13.4139,1.0554,3.3885,3.3501
2023-03-03,138.8475,164.4212,6.1957,25.7932,34.953,26.2397,1.24,14.7876,27.8821,1.7696,6.2099,13.4227,1.1043,3.4929,3.3562
2023-03-06,140.5639,162.7501,6.2528,25.2511,34.664,26.0295,1.25,14.8777,28.1101,1.7852,6.4025,13.55,1.1381,3.549,3.4121
2023-03-07,140.332,163.8642,6.1193,25.1016,34.7636,25.695,1.3,15.0581,27.6447,1.7713,6.4766,13.5368,1.109,3.464,3.3846
2023-03-08,140.9814,164.9783,6.1479,25.2325,35.1821,25.5708,1.325,15.0123,27.6732,1.7696,6.4322,13.4491,1.1193,3.5132,3.3854
2023-03-09,141.5381,163.4,6.1294,24.9708,35.1024,25.609,1.35,15.0581,27.8442,1.7592,6.2395,13.2384,1.1163,3.4667,3.3811
2023-03-10,143.3474,162.3788,5.9203,24.7465,34.8733,25.4848,1.385,14.9208,27.7967,1.7296,6.111,13.1286,1.0593,3.3209,3.3708
2023-03-13,137.8269,161.636,5.4324,23.868,35.1821,25.1695,1.345,15.0581,27.1984,1.6557,5.8443,12.5009,0.9342,3.0767,3.2787
2023-03-14,142.1412,164.3284,5.618,24.4101,35.7301,25.7046,1.35,15.0123,27.7017,1.6627,6.116,12.6326,0.9762,3.1696,3.2796
2023-03-15,135.4146,160.8933,5.0788,23.6064,35.2718,25.0548,1.34,14.6461,26.2867,1.5836,5.7751,11.7548,0.8737,2.9511,3.2297
2023-03-16,137.7341,163.5857,5.2518,23.9054,35.1921,25.5135,1.32,14.6919,27.3218,1.5923,5.8887,11.6801,0.8695,3.0279,3.203
2023-03-17,132.1208,164.3284,5.0688,23.1204,33.9765,25.3319,1.32,14.6461,27.1889,1.5653,5.6269,11.8382,0.8421,2.8872,3.1858
2023-03-20,131.7033,165.9067,5.2325,23.2886,33.7374,25.4753,1.28,14.6461,27.0749,1.5836,5.7455,12.0576,0.8565,2.9672,3.2305
2023-03-21,135.9712,165.8139,5.5147,23.6251,33.6477,25.8861,1.285,14.6461,27.6542,1.6288,5.6269,12.4176,0.9204,3.1056,3.3045
2023-03-22,134.997,165.4425,5.5298,23.5129,33.0897,25.9244,1.285,14.6461,27.7967,1.6305,5.5577,12.5185,0.8956,3.1125,3.2976
