Date,ALFA.ST,ASSA-B.ST,ATCO-A.ST,AXFO.ST,CAST.ST,ERIC-B.ST,HM-B.ST,KINV-B.ST,LIAB.ST,NWG.ST,SAAB-B.ST,SAND.ST,SWED-A.ST,TEL2-B.ST,VOLV-B.ST
2023-01-02,294.6283,217.9311,120.9873,264.2974,110.4659,56.1254,107.0125,149.2,123.7277,137.0742,102.2372,183.7684,145.5885,75.5621,174.6026
2023-01-03,294.4346,219.2805,122.4031,267.2483,110.4659,56.296,107.381,151.0,127.8962,136.7052,102.2617,183.9113,145.9121,76.6603,175.8401
2023-01-04,297.1465,223.6179,125.3124,266.5106,110.8859,57.2479,111.6548,152.45,128.5593,141.5019,99.241,183.7684,147.2871,77.4969,175.1667
2023-01-05,301.1175,219.3769,127.0386,265.8651,109.5418,57.2658,117.2367,151.35,131.0225,142.9778,101.5004,188.9604,148.1768,78.7694,175.6217
2023-01-09,312.5462,226.5095,129.9284,269.2772,112.398,57.7507,118.8578,155.7,136.4226,145.7451,103.0476,195.4861,152.6658,79.9024,179.6073
2023-01-10,313.7084,227.8589,127.601,270.8449,112.944,56.9246,117.5683,155.6,136.2331,147.4055,102.9248,193.3902,153.7577,79.2749,177.5144
2023-01-11,318.2605,231.7144,129.7151,262.8219,116.0102,56.8887,119.9631,163.5,139.5489,147.0365,100.8619,194.8192,154.89,80.1638,180.9723
2023-01-12,315.2581,236.7265,129.7733,253.8767,117.6063,60.2742,121.1605,166.6,140.591,151.6487,101.3039,198.7252,153.7172,82.3427,182.9469
2023-01-13,311.8682,236.6301,129.5793,252.2168,120.1264,57.5981,119.6131,168.35,141.0647,153.4936,100.7636,199.5826,151.2503,82.0638,181.773
2023-01-16,317.0014,237.594,127.8338,253.9689,124.5366,57.7418,120.7368,170.0,144.3806,154.416,102.2617,201.3926,152.0187,82.4821,182.9469
2023-01-17,316.1297,236.341,128.1053,254.5222,125.7547,56.5744,118.0656,166.65,145.8964,154.785,104.2019,200.5352,150.7246,82.7959,182.9924
2023-01-18,316.614,237.3049,130.4327,257.381,122.5205,56.8438,118.6736,166.75,145.8016,156.8144,104.4229,203.8695,152.9084,81.1748,185.5857
2023-01-19,308.5752,232.6783,125.293,258.3032,120.7984,55.5955,115.4498,156.7,138.6015,153.1246,105.1842,195.2003,151.776,80.8088,180.5537
2023-01-20,317.8731,234.3168,128.4738,259.6865,123.4026,52.9823,115.8735,153.9,140.4963,151.4642,105.6017,204.6317,152.9488,81.7152,183.8568
2023-01-23,322.0378,239.5217,130.6073,259.6865,126.3427,54.482,116.8867,161.85,142.77,154.047,104.472,206.8228,153.2724,81.8023,185.9042
2023-01-24,315.9361,235.6663,128.6484,254.1534,127.3088,53.584,118.5078,162.5,142.0121,151.8332,104.5948,206.8228,156.6694,81.3666,187.5876
2023-01-25,313.4178,234.7988,128.4156,253.6923,127.4348,53.1081,117.5867,161.75,139.17,148.8814,104.6193,206.1559,156.3055,80.6519,187.6786
2023-01-26,312.8367,236.8229,120.7157,246.0382,126.5107,54.0599,120.8474,167.35,141.7279,151.0952,105.6999,205.2032,155.254,80.5822,184.0843
