Date,AZN.L,BARC.L,BHP.L,BP.L,CRH,DGE.L,HSBA.L,LLOY.L,MRO.L,NG.L,RIO.L,SGE.L,SHEL.L,TSCO.L,ULVR.L,VOD.L
2023-01-03,11527.4854,163.4212,2569.4475,482.9435,38.689,3610.5784,529.2701,47.0647,286.0347,998.4055,5831.126,743.2218,2365.0879,228.8231,4190.2412,85.8873
2023-01-04,11595.4473,167.8963,2583.4365,465.4582,40.5466,3656.5542,542.8538,47.3793,290.8597,1028.8873,5837.1177,754.0164,2283.1543,234.8184,4223.7148,87.7868
2023-01-05,11703.3867,172.2316,2650.8823,471.3532,39.7828,3650.5569,564.628,48.2481,296.1042,1028.8873,5931.9902,753.8165,2309.6326,238.3157,4197.7349,88.7465
2023-01-06,11775.3467,171.9119,2719.8274,476.6487,41.1312,3644.5603,567.9241,47.9385,298.9362,1043.8784,6049.8311,768.0093,2348.1013,241.2135,4198.2349,88.6865
2023-01-09,11729.3721,172.4313,2717.3293,478.8969,41.1972,3633.0664,562.5305,48.1832,307.5372,1036.8826,6082.7866,777.4044,2377.0776,243.0121,4191.7397,88.6665
2023-01-10,11795.335,171.4125,2706.3381,474.7004,41.1124,3629.5684,563.4294,47.9685,307.1176,1021.8915,6064.8101,777.2045,2374.5796,241.9129,4194.7368,87.6968
2023-01-11,11627.4297,173.3503,2752.3013,478.1475,41.9799,3666.5483,568.9229,48.0084,312.0475,1027.3883,6118.7373,782.6018,2404.0562,243.5117,4187.2437,87.7967
2023-01-12,11441.5342,176.8865,2797.7651,484.592,42.1402,3640.063,581.1083,48.6825,315.7186,1035.3834,6279.5205,767.3282,2430.5347,245.8099,4181.7476,92.0256
2023-01-13,11649.418,180.5425,2811.2544,483.9426,43.036,3677.5427,590.4972,49.5463,314.7745,1032.3853,6210.6133,774.5257,2438.5281,245.4102,4212.2241,91.5857
2023-01-16,11669.4062,182.3006,2762.793,480.5954,42.8898,3699.531,595.3913,49.6811,316.7675,1021.3918,6087.7793,771.5267,2423.5405,247.3088,4226.7119,93.2753
2023-01-17,11593.4492,180.7422,2773.2844,484.2423,42.7436,3764.4963,590.4972,49.4315,315.0892,1036.8826,6139.7095,760.1308,2417.0457,247.6085,4162.2617,92.1556
2023-01-18,11571.4609,181.901,2802.2615,485.7911,42.1684,3665.5493,589.9978,49.3965,313.9354,1031.8856,6195.6343,775.5253,2401.5581,247.6085,4091.8171,90.666
2023-01-19,11413.5498,177.1861,2747.8049,474.3007,41.9044,3690.0361,584.8039,48.7374,305.754,1034.3842,6142.7056,752.9333,2358.5928,248.0082,4088.3201,90.2361
2023-01-20,11193.6748,178.225,2771.7859,475.4498,42.4419,3677.5427,591.8954,49.2068,300.4047,1034.3842,6204.6211,760.1308,2361.0908,247.7085,4086.3215,91.8557
2023-01-23,11031.7656,179.6834,2794.7676,480.3956,42.6965,3703.5291,591.3961,49.741,303.4465,1029.8868,6240.5732,766.3286,2363.5889,249.607,4102.3091,91.5058
2023-01-24,10703.9512,179.5635,2800.7629,474.8502,42.5268,3686.0381,594.0928,50.0606,303.5514,1030.3865,6271.5312,762.9297,2345.6033,243.7115,4096.3135,92.1156
2023-01-25,10803.8945,181.5214,2838.2327,474.3007,43.102,3673.0449,597.7885,50.8795,297.9922,1035.8833,6327.4556,758.9312,2330.1157,244.411,4057.3445,92.3056
2023-01-26,10637.9883,184.8378,2852.7212,483.7927,43.63,3470.1531,603.1821,52.4273,301.8731,1031.8856,6368.4004,758.5313,2339.6084,245.4102,4040.3569,92.3156
2023-01-27,10616.001,185.577,2823.7446,488.8884,43.8186,3420.1797,599.7861,52.5172,302.0829,1027.3883,6282.5166,763.3297,2368.585,246.7092,4017.8745,93.3953
2023-01-30,10703.9512,186.456,2816.2502,491.6361,43.6111,3408.6858,601.2844,52.9066,302.7122,1031.8856,6309.48,773.526,2373.0811,247.4087,4068.835,93.5252
2023-01-31,10584.0186,185.6369,2823.7446,488.4388,44.3938,3518.1277,595.691,52.5072,298.3069,1024.39,6310.4785,776.525,2372.0818,245.71,4105.3066,93.0953
2023-02-01,10274.1943,186.2762,2788.7722,492.0358,45.3084,3543.614,600.5851,52.9066,299.8802,1018.3936,6193.6362,778.7242,2364.5879,247.3088,4129.7876,91.1559
2023-02-02,10244.2109,188.1941,2749.304,478.3972,45.8554,3544.6138,590.2974,53.4159,316.1381,1041.8796,6055.8223,800.1166,2335.6113,248.1082,4098.813,94.8149
2023-02-03,10572.0264,188.4338,2778.2805,485.6412,44.6955,3576.5967,595.9906,53.2562,318.6555,1033.3846,6119.7358,806.5143,2412.0496,246.2096,4167.7578,91.1159
2023-02-06,10574.0264,186.3361,2735.3147,477.9476,43.894,3559.6055,595.2915,52.7569,310.8936,1039.3811,6038.8457,794.3186,2396.562,246.3096,4160.2642,90.636
2023-02-07,10580.0215,188.6336,2745.3069,515.9657,44.5824,3503.6353,604.2808,53.376,302.9221,1034.8838,6072.7993,780.1237,2453.0164,246.5094,4100.8096,91.4658
2023-02-08,10745.9277,189.5126,2749.8035,532.7515,44.2618,3512.1311,611.6719,53.5757,299.7753,1024.8898,6042.8398,778.1245,2441.0261,244.1113,4096.3135,92.2956
2023-02-09,11183.6807,189.3928,2767.2893,545.241,44.1581,3504.6348,615.0679,53.8953,299.2509,1030.3865,6070.8022,774.3257,2464.0076,244.2112,4105.8052,91.2458
2023-02-10,11383.5674,185.517,2719.3276,559.5289,43.63,3484.6455,609.8741,53.2162,295.1602,1033.8844,5958.9536,750.5342,2536.9487,242.8123,4129.2881,92.0556
2023-02-13,11415.5498,186.1164,2727.821,556.9312,44.5447,3535.6182,612.9704,52.9965,299.0411,1053.3727,5968.9395,763.5296,2542.9438,242.7123,4258.6875,93.9751
2023-02-14,11511.4961,187.1153,2729.3196,559.6288,44.5258,3518.1277,608.4758,53.7155,296.8384,1053.8726,6009.8843,760.7305,2558.4316,245.6101,4263.1851,97.1943
2023-02-15,11561.4668,172.4113,2749.8035,559.2292,45.431,3549.1111,611.5721,52.3075,304.2856,1056.8707,6028.8589,773.1262,2576.9163,249.8069,4264.1836,99.1937
2023-02-16,11355.583,174.4691,2788.7722,567.1788,44.639,3591.5886,617.6649,52.8667,302.5025,1047.8761,6130.7207,768.5278,2585.6509,249.9068,4227.7114,101.4931
2023-02-17,11479.5127,173.3104,2765.7908,559.4846,44.5447,3558.606,620.3615,50.8395,301.3487,1069.3632,6094.77,761.1305,2539.1841,250.7061,4232.208,102.3529
2023-02-20,11533.4834,175.6878,2852.7212,557.7858,44.3608,3567.1018,619.9621,51.4686,307.6421,1069.863,6268.5352,763.1297,2522.1965,251.0059,4207.228,102.7328
2023-02-21,11563.4648,171.2327,2748.8042,549.8916,44.1769,3576.5967,646.7302,50.8994,301.6634,1070.3627,6195.6343,752.7334,2483.7239,249.607,4235.2061,101.6331
2023-02-22,11493.5039,172.6311,2655.8784,538.9998,43.696,3608.5796,635.3438,51.189,298.9362,1069.863,5974.9316,753.1332,2447.7493,249.0075,4263.1851,100.4734
2023-02-23,11205.2549,172.4612,2600.9224,546.5941,44.2523,3585.5916,629.351,51.928,308.0617,1063.3668,5828.1299,748.9348,2480.2263,248.8076,4190.6157,98.9738
2023-02-24,11095.3018,170.4429,2509.9949,549.7919,43.6677,3603.5823,634.9443,51.5885,307.747,1054.8718,5659.3579,750.1343,2497.2144,246.7092,4188.6162,99.1537
2023-02-27,11093.3018,172.5012,2509.4954,557.7858,44.3749,3596.5859,631.0489,51.7183,317.292,1069.3632,5640.3838,754.9326,2534.6875,254.0036,4191.1152,100.6933
2023-02-28,10875.3955,174.4996,2525.4827,550.0915,44.6107,3527.1226,634.8444,52.5471,314.355,1047.3763,5704.2969,748.3349,2524.6948,254.803,4133.1553,99.7536
2023-03-01,10811.4229,174.2798,2624.4033,549.8916,44.7521,3518.6274,639.5388,51.8881,323.0608,1016.3948,5963.9463,751.3339,2562.1677,251.3057,4134.6533,100.0335
2023-03-02,10859.4023,171.6219,2683.856,560.7836,48.8633,3576.9097,618.4432,51.2689,326.9418,1025.8892,6009.8843,750.1343,2602.6389,253.9037,4185.6187,99.5736
2023-03-03,10779.4355,171.3421,2730.8186,554.888,48.7125,3574.9106,617.7438,51.7183,324.2147,1030.8861,6135.7148,761.7303,2578.1562,256.102,4142.6484,100.4534
2023-03-06,10737.4541,172.2015,2664.8713,558.9849,48.7313,3545.9236,617.2442,51.6983,329.1445,1033.3846,5963.9463,762.1301,2597.6426,259.6992,4104.1758,101.1932
2023-03-07,10845.4082,168.7842,2632.8967,558.0856,48.4673,3548.9224,623.7384,51.2789,341.8362,1030.3865,5886.0518,759.9308,2596.1436,258.8998,4117.6646,98.6739
2023-03-08,10817.4209,168.7442,2666.3699,557.9857,48.8351,3540.9258,630.1327,51.5285,346.0318,1043.3788,5951.9624,760.1308,2585.6509,260.2987,4121.1636,98.6939
2023-03-09,10861.4014,163.2886,2560.1692,556.5867,47.9581,3536.9275,620.5413,51.3887,346.1817,1042.879,5684.0947,769.9274,2571.1614,262.597,4109.1719,98.6739
2023-03-10,10693.4717,157.2935,2530.1846,548.7924,47.3075,3498.9443,592.067,49.7061,340.9365,1049.3752,5628.1528,761.1305,2542.6819,259.3994,4066.2009,98.5339
2023-03-13,10681.4775,147.3615,2496.7019,522.1122,46.11,3462.9604,567.5889,47.1596,324.8863,1063.3668,5542.2422,747.5352,2436.2581,254.803,4053.2097,95.6547
2023-03-14,10681.4775,151.9378,2506.6968,530.4061,47.3923,3481.9519,576.4811,48.1682,329.3971,1058.3699,5636.1445,752.9333,2467.7354,254.6031,4070.198,96.1545
2023-03-15,10639.4951,138.1289,2386.759,486.4388,45.431,3447.967,547.9067,45.9513,311.039,1047.8761,5328.4639,742.537,2257.8853,251.7054,4037.7202,93.9951
2023-03-16,10793.4287,142.2656,2353.7761,482.092,47.0883,3532.9294,557.5979,47.3993,319.2214,1057.3704,5275.519,752.9333,2207.4219,251.8053,4084.1885,92.6455
2023-03-17,10809.4229,139.4478,2356.2749,479.5938,46.3657,3473.4558,541.6122,46.186,309.0458,1038.3817,5244.5513,733.3403,2212.4185,246.7092,4044.7158,90.3461
2023-03-20,10785.4346,136.2504,2385.7595,486.6386,47.5219,3518.9355,541.2127,46.0412,310.1997,1053.3727,5354.4375,731.9408,2234.4021,249.5071,4079.6914,92.4455
2023-03-21,10899.3848,143.0249,2377.2642,503.0265,48.6107,3546.9229,553.5016,48.0933,321.3195,1041.3799,5334.458,743.7366,2308.8489,256.6016,4127.1592,92.6455
2023-03-22,10971.3535,142.5453,2370.2678,504.0257,48.4276,3602.3982,564.0922,47.6989,323.4176,1046.377,5313.4795,743.3367,2315.8438,258.7999,4199.6089,91.3558
2023-03-23,10993.3457,139.6676,2360.2729,498.33,47.599,3561.4165,547.7069,46.7851,335.3766,1055.3716,5282.5117,748.7348,2270.3765,253.6039,4169.6294,90.776
2023-03-24,11075.3105,133.7924,2370.7673,485.9391,46.3464,3597.4004,533.5197,45.6517,331.2853,1057.8701,5247.5483,749.9344,2198.9277,250.6062,4194.1123,88.5565
2023-03-27,11247.2383,136.8899,2360.2729,496.0316,46.5584,3581.4077,540.6132,46.2559,337.7894,1067.3645,5226.5698,749.5345,2230.9048,251.2058,4217.5967,89.0764
