Date,AAPL,AMGN,AXP,BA,CAT,CSCO,CVX,DIS,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MRK,MSFT,NKE,PFE,PG,TRV,UNH,V,VZ,WBA,WMT
2023-01-03,123.6325,243.5008,142.4515,195.39,229.5511,44.4462,158.7372,87.8843,326.0305,298.1171,129.2864,25.7751,166.3037,126.7099,58.7824,250.9138,104.3409,235.24,114.6771,45.4589,143.3528,178.9253,500.9303,203.8522,33.8856,32.0709,46.4615
2023-01-04,124.9077,246.0507,145.763,203.64,231.9342,44.4369,157.0493,90.8576,327.4242,301.7219,130.2454,26.6912,168.1143,127.8914,58.7544,250.9707,105.2234,224.9499,117.0527,44.4568,143.9769,179.0305,487.2731,208.9832,34.7387,32.3296,46.5133
2023-01-05,123.5831,248.3494,142.2748,204.99,230.8964,43.8108,159.8776,90.7983,323.7139,297.7018,128.8845,26.5755,166.873,127.8631,58.082,248.8539,106.688,218.2829,116.483,44.04,142.1894,179.3365,473.2296,207.5088,35.2201,30.3462,46.3548
2023-01-06,128.1302,256.1109,145.9087,213.0,239.1413,45.1565,161.0818,92.7739,327.7819,299.6458,131.2501,27.7037,168.2263,130.3098,59.2026,255.7929,107.8145,220.8554,120.2589,45.1574,145.5753,185.3797,473.2682,214.0355,35.6339,31.5707,47.4904
2023-01-09,128.6541,251.3833,146.1322,208.57,236.9888,45.3995,159.8228,93.6135,332.4151,299.91,131.1131,28.263,163.8678,129.7713,58.4649,253.6856,103.6274,223.0057,120.5679,42.9137,143.7972,180.8378,473.3262,214.871,35.4907,31.3465,46.8983
2023-01-10,129.2275,254.8825,147.6868,206.69,240.7269,45.6144,160.6074,94.3939,336.5208,302.5712,132.2548,28.3883,163.4758,130.9333,58.0167,255.2613,104.0311,224.7044,121.5239,42.2308,143.6554,182.8458,469.4048,217.3186,35.9882,31.6483,46.8692
2023-01-11,131.9558,253.9798,149.5523,208.03,240.9382,45.9882,159.841,95.1545,343.2256,310.4698,132.6749,28.7837,163.2145,131.9063,57.9046,255.1664,104.2752,231.4991,123.5519,42.0801,142.4921,183.2378,476.5521,218.3113,35.3277,32.0105,47.2801
2023-01-12,131.8767,252.1278,150.5239,214.32,245.1088,45.792,161.5563,98.592,348.3672,311.2907,132.9398,29.208,162.3932,131.7741,57.1576,253.154,104.9324,234.1894,123.5036,42.3107,141.6881,183.582,478.7446,219.8054,35.8681,31.6138,46.853
2023-01-13,133.2112,252.8816,151.3401,214.13,248.3664,45.6798,161.9942,98.187,352.1905,312.5553,133.2504,29.0344,161.8612,135.0994,57.363,255.2424,105.383,234.8964,124.4307,42.4348,142.7002,185.4275,472.853,219.255,35.911,31.7173,47.0083
2023-01-17,134.3776,250.7319,149.3871,211.41,246.2523,44.9322,164.6673,98.6908,329.5147,309.0826,132.611,28.5426,160.8626,133.0116,57.5964,260.1974,103.6931,235.9961,123.7451,40.8651,142.284,176.8981,468.5162,219.196,35.0446,31.3293,46.7236
2023-01-18,133.656,246.0507,146.1516,209.41,242.9467,43.8295,161.6931,97.8314,328.7331,305.4588,128.2451,27.7808,158.436,129.0156,55.8503,252.537,102.1347,231.5383,122.0937,39.9073,138.4725,175.5882,459.9781,215.7164,34.2896,30.7084,45.5685
2023-01-19,133.7153,243.8544,142.6829,207.09,237.279,43.4183,163.308,97.8709,330.2963,293.3704,128.437,27.4048,158.2214,127.2963,55.7662,250.2018,103.1768,227.7286,120.2589,39.8719,135.5441,175.9802,467.8208,216.6502,34.3668,30.5359,44.9182
2023-01-20,136.2854,244.9805,147.2981,206.76,241.1025,43.7173,165.0414,102.2172,321.9059,297.2583,128.9667,28.1762,157.4841,127.608,56.1024,254.948,103.2143,235.8684,122.2772,40.0049,136.0675,177.2137,470.1003,220.4836,34.3154,30.9412,45.4715
2023-01-23,139.4882,242.868,149.63,209.97,243.9894,44.3902,164.8224,104.4003,328.7802,297.7112,129.5695,29.1887,157.0827,129.6769,56.2424,255.6221,103.158,238.1857,123.8899,39.8896,134.2402,178.1986,469.2213,220.3558,33.998,31.6225,46.1509
2023-01-24,140.8919,241.6861,150.9223,211.98,248.7302,44.6799,164.9775,104.7065,328.0174,299.7968,129.2316,28.8512,157.0827,130.7916,56.5413,255.8783,101.8812,237.6554,122.48,39.6502,134.973,184.7868,474.8136,220.0708,34.6757,30.9585,46.2739
2023-01-25,140.2296,238.7453,152.3214,212.68,249.5316,44.8388,163.3809,106.8006,329.2416,299.391,128.5648,28.639,158.2027,131.4245,56.8961,259.1437,101.9469,236.2514,122.4703,39.9694,134.8778,182.3868,475.6829,221.0636,34.5985,31.2861,46.0539
2023-01-26,142.3054,237.2004,151.4567,212.73,253.0847,45.1752,171.3274,108.3613,334.2702,296.1353,122.8015,29.0151,157.6241,132.237,56.7841,260.7765,100.3321,243.5075,123.156,39.6025,134.3353,183.6968,475.6636,220.8768,34.547,31.4759,46.0118
2023-01-27,144.2528,236.0557,167.4205,211.17,255.4213,45.334,163.7185,108.2033,333.0743,298.8531,122.7467,27.1541,157.0081,132.5582,56.4852,258.6311,98.9333,243.6646,123.156,39.1908,133.7833,180.4935,469.4531,227.492,34.8644,32.0536,46.3645
2023-01-30,141.3564,234.1386,167.7605,209.67,252.4861,45.063,158.9287,106.2771,336.615,296.5411,123.5778,26.9516,151.1937,131.434,56.6253,257.1408,99.5998,238.3133,122.0358,38.976,134.2021,179.6807,469.202,225.1919,35.2161,31.5017,45.9924
2023-01-31,142.6316,234.8924,169.9661,213.0,243.5936,45.4836,158.7645,107.1661,344.4781,305.9118,123.0572,27.2505,152.5189,132.2181,57.2603,253.828,100.8391,243.3209,122.9628,39.5219,135.506,182.7501,482.1444,226.283,35.6622,31.7863,46.5489
2023-02-01,143.7585,229.3179,168.6836,214.75,240.9383,45.3901,156.3377,108.0551,344.3839,309.611,123.386,28.0316,153.9189,131.8685,57.2696,252.7553,100.4354,248.1714,125.0584,39.3519,136.2769,177.1181,480.0292,226.9612,35.7652,32.0623,46.8077
2023-02-02,149.0866,229.4296,168.2172,209.34,236.4583,46.091,154.1937,111.8285,347.9246,320.6521,124.5734,29.1115,154.4975,131.2545,56.2891,249.8506,97.1307,259.8068,124.6335,39.683,135.3061,173.7905,454.7528,225.6441,35.8853,32.5193,46.468
2023-02-03,152.7243,228.1639,173.7846,206.01,239.2197,45.4462,154.5951,109.359,348.3767,312.829,125.0757,29.2369,153.6296,133.2856,55.8689,250.8189,96.6426,253.67,123.2332,39.4324,135.7249,174.7563,455.9022,226.2043,35.6108,31.9847,45.85
2023-02-06,149.9861,226.9355,171.4721,206.81,242.7535,44.4556,154.7685,108.5293,349.1771,310.7245,124.3816,28.0022,152.4629,134.0697,56.1864,254.3216,97.6659,252.1186,121.4177,39.164,134.5733,177.8448,459.0122,225.5261,35.4135,31.2861,45.5168
2023-02-07,152.8726,227.0751,173.6292,214.76,241.0542,44.7079,158.8284,110.2678,352.5672,306.8838,124.0711,28.3536,152.5003,135.7039,56.093,253.771,99.2149,262.7132,121.0314,39.0118,133.2599,180.7325,460.5962,227.3741,34.7872,31.6828,45.6138
2023-02-08,150.1739,223.5386,173.9206,213.5,240.2914,43.8855,155.0969,110.416,353.2263,302.7222,124.1989,27.563,152.6963,134.7498,55.7662,249.4804,100.1162,261.8982,118.6944,39.3608,131.8799,179.1835,466.7198,226.2731,34.7615,31.5276,45.3679
2023-02-09,149.136,223.3526,174.2802,211.99,237.7907,43.6706,153.6737,109.0133,346.5309,297.7773,123.6627,27.0652,150.6337,132.6526,55.6728,247.4301,100.1913,258.8445,117.9895,38.7881,130.4333,177.2424,469.144,225.8792,34.1524,30.8808,45.7885
2023-02-10,149.5023,225.6791,174.1635,212.89,239.1328,44.1659,156.8942,106.7414,349.6291,298.7115,125.3732,27.1336,151.3336,133.2383,55.6728,249.1007,101.9281,258.334,118.0378,39.2713,131.5849,178.5715,477.3731,223.7617,34.3239,31.519,46.5003
2023-02-13,152.314,226.7587,176.1845,215.65,239.5963,44.7266,156.0184,106.3462,352.2093,305.3078,126.9912,27.8656,151.8936,134.6837,56.588,252.6888,102.8482,266.4051,120.8576,39.3698,133.3075,179.3843,478.4355,225.4163,34.5899,32.0019,47.2089
2023-02-14,151.6704,226.2892,175.8833,218.45,235.9369,44.5771,157.2136,106.3462,350.0999,300.4951,125.7523,27.9534,151.231,135.2789,55.6448,253.078,102.0877,267.2397,121.8716,39.1282,132.5556,176.0663,476.0016,225.9186,34.5985,31.6915,47.073
2023-02-15,153.7792,225.388,175.5432,217.44,240.1273,45.278,155.5568,107.907,352.5107,302.6278,126.1128,28.1584,148.7391,135.8457,55.6448,253.0306,101.0926,265.1036,123.1077,38.7702,132.2511,177.1085,474.4755,225.4557,34.6414,31.9099,47.4225
2023-02-16,152.1754,219.8957,172.8907,212.21,238.0225,47.6517,153.311,104.5386,348.6121,303.1468,124.8184,27.524,147.6845,133.9752,55.2993,252.3376,99.9942,258.0459,120.114,38.439,130.5189,175.0431,470.7088,222.4125,34.1781,31.7351,46.6783
2023-02-17,151.0269,225.8198,172.2689,211.66,239.2487,47.4461,149.8872,103.936,347.0112,300.0421,124.8369,26.9481,150.7677,134.372,56.1397,256.2865,102.82,254.0199,120.5582,38.6717,133.2504,177.6153,482.0382,220.1768,34.5041,32.1196,47.3804
2023-02-21,146.9975,223.6699,168.5573,205.52,232.4127,46.4368,148.1844,100.8442,340.0616,278.8566,121.7765,25.4353,148.5211,131.9063,55.8409,254.9196,102.3975,248.7143,116.9465,38.2153,133.1552,177.1372,474.5335,217.2813,33.6291,31.5953,47.6684
